# 排序待優化案例（enhancement）：全部 18181 筆，AI有推到正解但排在第6~10名、前端看不到，逐筆理想重排（正解移至第1名）。訓練回饋用，非全域規則。
排序問題樣態,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）**,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,儲備幹部,飯店／旅館主管,售票／收銀人員,人事／人力資源主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,飯店／旅館主管,售票／收銀人員,人事／人力資源主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）**..,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,儲備幹部,售票／收銀人員,飯店／旅館主管,人事／人力資源主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）.**,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,儲備幹部,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）.**.,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,儲備幹部,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）*。,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,餐飲主管,品管／品保主管,侍酒師,冷熱飲調製人員,儲備幹部,售票／收銀人員,飯店／旅館主管,人事／人力資源主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,餐飲主管,品管／品保主管,侍酒師,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,人事／人力資源主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）*,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,餐飲主管,品管／品保主管,侍酒師,冷熱飲調製人員,儲備幹部,飯店／旅館主管,售票／收銀人員,人事／人力資源主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,餐飲主管,品管／品保主管,侍酒師,冷熱飲調製人員,飯店／旅館主管,售票／收銀人員,人事／人力資源主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）**..-,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,儲備幹部,售票／收銀人員,飯店／旅館主管,資材主管,儲備幹部,調酒師／吧台人員,店長／門市管理人員,品管／品保主管,餐飲主管,侍酒師,冷熱飲調製人員,售票／收銀人員,飯店／旅館主管,資材主管
萬用填充項擠壓-跨領域(高信心),🎵 卡比音樂工作室｜儲備幹部招募（士林）**..&ndash;&ndash;,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,調酒師／吧台人員,品管／品保主管,店長／門市管理人員,侍酒師,餐飲主管,冷熱飲調製人員,儲備幹部,售票／收銀人員,人事／人力資源主管,資材主管,儲備幹部,調酒師／吧台人員,品管／品保主管,店長／門市管理人員,侍酒師,餐飲主管,冷熱飲調製人員,售票／收銀人員,人事／人力資源主管,資材主管
萬用填充項擠壓-同領域,外場服務人員,餐飲服務人員,餐廚助手,生鮮處理人員,冷熱飲調製人員,工讀生,飯店／旅館服務人員,門市／店員／專櫃人員,調酒師／吧台人員,遊樂景點工作人員,房務人員,冷熱飲調製人員,休閒娛樂事業從業人員,售票／收銀人員,侍酒師,神秘客,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,調酒師／吧台人員,遊樂景點工作人員,房務人員,休閒娛樂事業從業人員,售票／收銀人員,侍酒師,神秘客
,人資助理/專員,人事／人力資源專員,會計／出納／記帳人員,行政人員,行政助理,電腦操作／資料輸入,人事助理,資訊助理人員,生管／助理,媒體公關人員,執行製作／助理,行銷企劃助理,攝影助理,電腦操作／資料輸入,採購助理,秘書,電腦操作／資料輸入,人事助理,資訊助理人員,生管／助理,媒體公關人員,執行製作／助理,行銷企劃助理,攝影助理,採購助理,秘書
,【薪資31000起(未含加班費.國定假日.獎金)，請電洽】行政內勤人員,行政人員,財務／會計助理,業務助理,電腦操作／資料輸入,總機／接待／櫃檯人員,內勤業務,客服人員,行政助理,電話客服人員,廣告文案企劃人員,電腦操作／資料輸入,業務助理,票務人員／旅行社人員,秘書,國貿助理,電腦操作／資料輸入,內勤業務,客服人員,行政助理,電話客服人員,廣告文案企劃人員,業務助理,票務人員／旅行社人員,秘書,國貿助理
,★台中公益館-活動指導專員,休閒娛樂事業從業人員,門市／店員／專櫃人員,遊樂景點工作人員,飯店／旅館服務人員,總機／接待／櫃檯人員,活動企劃人員,公關企劃人員,傳播媒體編輯企劃,導演／導播,導遊／領隊／導覽,售票／收銀人員,表演／主持／直播人員,電腦操作／資料輸入,媒體公關人員,門市／店員／專櫃人員,門市／店員／專櫃人員,活動企劃人員,公關企劃人員,傳播媒體編輯企劃,導演／導播,導遊／領隊／導覽,售票／收銀人員,表演／主持／直播人員,電腦操作／資料輸入,媒體公關人員
萬用填充項擠壓-跨領域(高信心),鐘點計時人員｜歡迎電洽0918237522 / 05-2601668 蔡小姐,工讀生,餐飲服務人員,門市／店員／專櫃人員,售票／收銀人員,總機／接待／櫃檯人員,冷熱飲調製人員,洗碗人員,調酒師／吧台人員,餐廚助手,外送人員,餐飲服務人員,西式廚師,工讀生,門市／店員／專櫃人員,侍酒師,餐飲服務人員,冷熱飲調製人員,洗碗人員,調酒師／吧台人員,餐廚助手,外送人員,西式廚師,工讀生,門市／店員／專櫃人員,侍酒師
,派駐國外、管理幹部,經營管理主管,國外業務主管,工廠高階主管,採購主管,財務／會計主管,儲備幹部,資材主管,電機工程主管,客服主管,產品經理,經營管理主管,品管／品保主管,店長／門市管理人員,旅遊休閒類主管,生管主管,經營管理主管,儲備幹部,資材主管,電機工程主管,客服主管,產品經理,品管／品保主管,店長／門市管理人員,旅遊休閒類主管,生管主管
,OA事務商品維護工程師(無經驗薪$39000),電子設備維修人員,電器產品維修人員,通信維修人員,電子工程師,客服工程師,DevOps工程師,韌體工程師,IC設計工程師,FAE工程師,嵌入式工程師,PCB-Layout佈局工程師,客服工程師,軟體工程師,RF通訊工程師,現場規劃工程師,客服工程師,DevOps工程師,韌體工程師,IC設計工程師,FAE工程師,嵌入式工程師,PCB-Layout佈局工程師,軟體工程師,RF通訊工程師,現場規劃工程師
,(午班)電訪客服人員(13:30~17:30),客服人員,電話行銷人員,電訪人員,電話客服人員,客服工程師,國貿人員,文字客服,國貿助理,業務助理,採購助理,生管／助理,資材人員,秘書,電話客服人員,活動企劃人員,電話客服人員,國貿人員,文字客服,國貿助理,業務助理,採購助理,生管／助理,資材人員,秘書,活動企劃人員
,南台中商化專員（全聯通路）,通路開發人員,國內業務人員,門市／店員／專櫃人員,業務助理,店長／門市管理人員,廣告設計,商化人員,文字記者,資材人員,神秘客,攝影師,表演／主持／直播人員,產品企劃人員,客服主管,門市／店員／專櫃人員,門市／店員／專櫃人員,廣告設計,商化人員,文字記者,資材人員,神秘客,攝影師,表演／主持／直播人員,產品企劃人員,客服主管
,業務助理/美編/設計/網路/行銷,美編人員,客服人員,社群經營人員,行銷企劃人員,行政人員,國貿助理,業務助理,秘書,採購助理,活動企劃人員,行政人員,電腦操作／資料輸入,財務／會計助理,排版人員,行銷企劃助理,行政人員,國貿助理,業務助理,秘書,採購助理,活動企劃人員,電腦操作／資料輸入,財務／會計助理,排版人員,行銷企劃助理
,🏢【工務助理／內業文書助理】,工務助理,內業工程人員,估算人員,電腦操作／資料輸入,行政人員,內勤業務,行政助理,業務助理,國貿助理,秘書,採購助理,電腦操作／資料輸入,其他語言翻譯／口譯人員,財務／會計助理,行政人員,電腦操作／資料輸入,內勤業務,行政助理,業務助理,國貿助理,秘書,採購助理,其他語言翻譯／口譯人員,財務／會計助理,行政人員
,樹木巡查及文書資料處理(意者請洽0906-360-108李小姐),檔案資料管理人員,農藝栽培專業人員,花藝／園藝人員,業務助理,行政助理,電腦操作／資料輸入,秘書,行政人員,財務／會計助理,排版人員,採購助理,檔案資料管理人員,國貿助理,業務助理,國貿人員,檔案資料管理人員,電腦操作／資料輸入,秘書,行政人員,財務／會計助理,排版人員,採購助理,國貿助理,業務助理,國貿人員
,直播小幫手(兼職),電腦操作／資料輸入,客服人員,工讀生,業務助理,行政助理,媒體公關人員,行銷企劃助理,執行製作／助理,資訊助理人員,活動企劃人員,採購助理,國貿助理,秘書,電腦操作／資料輸入,業務助理,電腦操作／資料輸入,媒體公關人員,行銷企劃助理,執行製作／助理,資訊助理人員,活動企劃人員,採購助理,國貿助理,秘書,業務助理
,電商客服人員～台北市萬華區,客服人員,電話客服人員,門市／店員／專櫃人員,業務助理,行政助理,生管／助理,資材人員,文字客服,國貿人員,國貿助理,採購助理,業務助理,報關人員,活動企劃人員,國外業務人員,業務助理,生管／助理,資材人員,文字客服,國貿人員,國貿助理,採購助理,報關人員,活動企劃人員,國外業務人員
,KEY單人員(意者請親洽或電話聯絡預約面試),電腦操作／資料輸入,檔案資料管理人員,廠務,行政人員,行政助理,資材人員,生管／助理,神秘客,倉管／物料管理員,倉儲物流人員,資料庫管理人員,房務人員,電腦操作／資料輸入,理貨人員,文字客服,電腦操作／資料輸入,資材人員,生管／助理,神秘客,倉管／物料管理員,倉儲物流人員,資料庫管理人員,房務人員,理貨人員,文字客服
萬用填充項擠壓-跨領域(高信心),北投-育苗W薇閣資優教室-國高中導師,補習班導師,升學補習班老師,語文補習班老師,行政人員,行政助理,國中教師,高中職教師,調酒師／吧台人員,冷熱飲調製人員,國小教師,音樂老師,藥師,工讀生,安親課輔老師,升學補習班老師,升學補習班老師,國中教師,高中職教師,調酒師／吧台人員,冷熱飲調製人員,國小教師,音樂老師,藥師,工讀生,安親課輔老師
萬用填充項擠壓-同領域,早安胖丸  儲備幹部,中式廚師,餐飲領班,餐廚助手,餐飲服務人員,儲備幹部,調酒師／吧台人員,品管／品保主管,店長／門市管理人員,門市／店員／專櫃人員,冷熱飲調製人員,餐飲主管,儲備幹部,資材主管,售票／收銀人員,西式廚師,儲備幹部,調酒師／吧台人員,品管／品保主管,店長／門市管理人員,門市／店員／專櫃人員,冷熱飲調製人員,餐飲主管,資材主管,售票／收銀人員,西式廚師
萬用填充項擠壓-同領域,小豬很忙蔬果滷味-儲備幹部(逢甲店),餐飲服務人員,生鮮處理人員,其他料理廚師,餐廚助手,儲備幹部,調酒師／吧台人員,品管／品保主管,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,資材主管,冷熱飲調製人員,儲備幹部,餐飲主管,資材人員,儲備幹部,調酒師／吧台人員,品管／品保主管,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,資材主管,冷熱飲調製人員,餐飲主管,資材人員
,引擎半技師,汽車維修人員,汽車引擎技術人員,技術人員,其他車輛維修人員,儲備幹部,放電加工技術人員,CNC車床人員,電機技師／工程師,汽車檢驗員,電機設備裝配員,壓鑄模具技術人員,智慧製程工程師,模具技術人員,技術人員,機車維修人員,技術人員,放電加工技術人員,CNC車床人員,電機技師／工程師,汽車檢驗員,電機設備裝配員,壓鑄模具技術人員,智慧製程工程師,模具技術人員,機車維修人員
,現場儲備幹部,包裝員／作業員,機械操作人員,基層管理幹部,生產線工程師,儲備幹部,資材主管,智慧製程工程師,資材人員,生管主管,PLC／自動控制工程師,水電工,電機技師／工程師,儲備幹部,電機設備裝配員,電機工程主管,儲備幹部,資材主管,智慧製程工程師,資材人員,生管主管,PLC／自動控制工程師,水電工,電機技師／工程師,電機設備裝配員,電機工程主管
萬用填充項擠壓-同領域,中班計時人員(工讀兼職計時皆可),餐飲服務人員,餐廚助手,生鮮處理人員,洗碗人員,工讀生,冷熱飲調製人員,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,外送人員,藥師助理,休閒娛樂事業從業人員,售票／收銀人員,遊樂景點工作人員,工讀生,工讀生,冷熱飲調製人員,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,外送人員,藥師助理,休閒娛樂事業從業人員,售票／收銀人員,遊樂景點工作人員
萬用填充項擠壓-同領域,官東燒肉食堂-外場計時人員,餐飲服務人員,餐廚助手,日式廚師,其他料理廚師,工讀生,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,洗碗人員,餐廚助手,餐飲服務人員,外送人員,西式廚師,餐廚助手,調酒師／吧台人員,冷熱飲調製人員,侍酒師,飯店／旅館服務人員,門市／店員／專櫃人員,洗碗人員,餐飲服務人員,外送人員,西式廚師
,🔥助理(休紅字👍彈性上下班👍薪32000~38000),特別助理,行政助理,行政人員,總務人員,財務／會計助理,採購助理,電腦操作／資料輸入,資訊助理人員,行銷企劃助理,人事助理,秘書,財務／會計助理,生管／助理,國貿助理,執行製作／助理,財務／會計助理,採購助理,電腦操作／資料輸入,資訊助理人員,行銷企劃助理,人事助理,秘書,生管／助理,國貿助理,執行製作／助理
,編輯人員(瑞穗有機生態農場),編輯／文字類人員,教材編輯人員,校對人員,技術文件／說明書編譯,電腦操作／資料輸入,資材人員,生管／助理,影片製作技術人員,大圖輸出後製人員,資料庫管理人員,傳播媒體編輯企劃,文字客服,國貿人員,活動企劃人員,電腦操作／資料輸入,電腦操作／資料輸入,資材人員,生管／助理,影片製作技術人員,大圖輸出後製人員,資料庫管理人員,傳播媒體編輯企劃,文字客服,國貿人員,活動企劃人員
,(鳳山)法拍撤回業務專員,國內業務人員,融資／信用業務人員,不動產審核／估價師,授權／授信／徵信人員,財務分析／財務人員,國外業務人員,廣告AE,國貿人員,報關人員,空運／船務,國內業務人員,保險業務員／經紀人,國外業務主管,文字客服,越南翻譯／口譯人員,國內業務人員,國外業務人員,廣告AE,國貿人員,報關人員,空運／船務,保險業務員／經紀人,國外業務主管,文字客服,越南翻譯／口譯人員
,"✿信用卡電催專員(純內勤且保障底薪,高獎金,誠徵正職人員)",帳款催收人員,電話行銷人員,國內業務人員,國內業務人員,融資／信用業務人員,稽核人員,稽核主管,客服人員,電話客服人員,核保／保險內勤人員,票務人員／旅行社人員,內勤業務,餐廚助手,帳款催收人員,餐飲服務人員,帳款催收人員,稽核人員,稽核主管,客服人員,電話客服人員,核保／保險內勤人員,票務人員／旅行社人員,內勤業務,餐廚助手,餐飲服務人員
萬用填充項擠壓-跨領域(高信心),*葡萄酒美工企劃人員,行銷企劃人員,活動企劃人員,平面設計,美編人員,廣告文案企劃人員,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,售票／收銀人員,活動企劃人員,電腦操作／資料輸入,秘書,業務助理,行政人員,活動企劃人員,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,侍酒師,售票／收銀人員,電腦操作／資料輸入,秘書,業務助理,行政人員
,【無經驗可】企劃助理,活動企劃人員,行銷企劃助理,行銷企劃人員,廣告文案企劃人員,市場調查／分析人員,秘書,採購助理,國貿助理,業務助理,電腦操作／資料輸入,財務／會計助理,行政人員,行銷企劃助理,活動企劃人員,排版人員,行銷企劃助理,秘書,採購助理,國貿助理,業務助理,電腦操作／資料輸入,財務／會計助理,行政人員,活動企劃人員,排版人員
,【台北市信義區】電信業-客戶開發暨維繫處管理師(行銷/分析/營運),產品管理師,行銷企劃助理,行銷企劃人員,數位行銷人員,市場調查／分析人員,客服主管,神秘客,國內業務人員,通路開發人員,資料庫管理人員,產品管理師,國外業務人員,廣告AE,產品企劃人員,產品經理,產品管理師,客服主管,神秘客,國內業務人員,通路開發人員,資料庫管理人員,國外業務人員,廣告AE,產品企劃人員,產品經理
,系統維護工程師,軟體工程師,網站程式設計師,系統工程師,資料庫管理人員,後端工程師,IC設計工程師,電子設備維修人員,DevOps工程師,冷凍空調技術人員／安裝員,土木工程師,軟體工程師,資安工程師,嵌入式工程師,系統工程師,水電工程師,軟體工程師,IC設計工程師,電子設備維修人員,DevOps工程師,冷凍空調技術人員／安裝員,土木工程師,資安工程師,嵌入式工程師,系統工程師,水電工程師
,楠梓徵正職技術員/封裝測試大廠/固定班/留任獎金10000元,包裝員／作業員,組裝組立技術人員,PCB技術人員,技術人員,IC封裝／測試工程師,汽車檢驗員,模具技術人員,電機設備裝配員,檢驗人員,電機技師／工程師,原料檢驗人員,技術人員,品管人員,塑膠模具技術人員,機械加工技術人員,技術人員,汽車檢驗員,模具技術人員,電機設備裝配員,檢驗人員,電機技師／工程師,原料檢驗人員,品管人員,塑膠模具技術人員,機械加工技術人員
,太陽能板巡視檢查人員,檢驗人員,工程助理,機電技師／工程師,電信／配線繪圖,光電工程師,電子設備維修人員,神秘客,燈光技術人員,電器產品維修人員,水電工程師,PLC／自動控制工程師,電信／配線繪圖,水電工,電機設備裝配員,電機技師／工程師,電信／配線繪圖,電子設備維修人員,神秘客,燈光技術人員,電器產品維修人員,水電工程師,PLC／自動控制工程師,水電工,電機設備裝配員,電機技師／工程師
,工地主任(龍潭),機電技師／工程師,水電工程師,冷凍空調繪圖／設計,專案經理,電機工程主管,金屬建材架構人員,土木工程師,營建主管,工地主管／主任,結構技師／工程師,水電工程師,工地品管員／工程師,營建工程人員,電機工程主管,土木技師,水電工程師,金屬建材架構人員,土木工程師,營建主管,工地主管／主任,結構技師／工程師,工地品管員／工程師,營建工程人員,電機工程主管,土木技師
,生產儲備幹部(大埔美廠),技術人員,機械操作人員,機械加工技術人員,包裝員／作業員,領班／管理幹部,生管主管,智慧製程工程師,電機技師／工程師,電機設備裝配員,模具技術人員,塑膠模具技術人員,塑膠押出技術人員,壓鑄模具技術人員,技術人員,沖壓模具技術人員,技術人員,生管主管,智慧製程工程師,電機技師／工程師,電機設備裝配員,模具技術人員,塑膠模具技術人員,塑膠押出技術人員,壓鑄模具技術人員,沖壓模具技術人員
,倉管行政人員,倉管／物料管理員,行政人員,電腦操作／資料輸入,檔案資料管理人員,行政助理,資材人員,文字客服,國貿人員,生管／助理,資料庫管理人員,保稅人員,採購助理,行政人員,報關人員,秘書,行政人員,資材人員,文字客服,國貿人員,生管／助理,資料庫管理人員,保稅人員,採購助理,報關人員,秘書
,現場儲備幹部,生管／助理,工廠高階主管,生產線工程師,機械操作人員,儲備幹部,資材主管,智慧製程工程師,資材人員,生管主管,PLC／自動控制工程師,水電工,電機技師／工程師,儲備幹部,電機設備裝配員,電機工程主管,儲備幹部,資材主管,智慧製程工程師,資材人員,生管主管,PLC／自動控制工程師,水電工,電機技師／工程師,電機設備裝配員,電機工程主管
,現場機械組立《儲備幹部》,機械加工技術人員,組裝組立技術人員,技術人員,機械操作人員,儲備幹部,電機設備裝配員,電機技師／工程師,電機工程主管,生管主管,模具技術人員,機械加工技術人員,PLC／自動控制工程師,水電工,智慧製程工程師,技術人員,機械加工技術人員,電機設備裝配員,電機技師／工程師,電機工程主管,生管主管,模具技術人員,PLC／自動控制工程師,水電工,智慧製程工程師,技術人員
萬用填充項擠壓-同領域,台糖-柳營尖山埤渡假村房務主任,飯店／旅館櫃檯人員,飯店／旅館主管,,,,調酒師／吧台人員,品管／品保主管,侍酒師,儲備幹部,餐飲主管,店長／門市管理人員,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館主管,客服主管,飯店／旅館主管,調酒師／吧台人員,品管／品保主管,侍酒師,儲備幹部,餐飲主管,店長／門市管理人員,門市／店員／專櫃人員,售票／收銀人員,客服主管
萬用填充項擠壓-同領域,旅館訂房人員(孰悉OTA),飯店／旅館櫃檯人員,飯店／旅館主管,,,,票務人員／旅行社人員,神秘客,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員,飯店／旅館櫃檯人員,調酒師／吧台人員,室內設計助理,工業設計,資材人員,飯店／旅館櫃檯人員,票務人員／旅行社人員,神秘客,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員,調酒師／吧台人員,室內設計助理,工業設計,資材人員
萬用填充項擠壓-同領域,280 東勢中正餐廳 服務員(兼職),餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,售票／收銀人員,外送人員,藥師助理,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,侍酒師,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,售票／收銀人員,外送人員,藥師助理
萬用填充項擠壓-同領域,236 田中中正餐廳 服務員(兼職),餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,外送人員,售票／收銀人員,藥師助理,餐飲服務人員,餐飲服務人員,調酒師／吧台人員,飯店／旅館服務人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,餐飲主管,外送人員,售票／收銀人員,藥師助理
