# 推薦模型訓練回饋：每筆案例的負面推薦（模型目前推錯的前5項）與正向推薦（應推薦的正確職類與順序）。優化緣由：推薦項目命中率改善＝原本完全沒命中需救回；順序調整＝有推到但排在第6~10名需調進前5。正向推薦來源為廠商實際送出職類，不足5項即留白（不補值）。
職缺名稱,負面推薦1,負面推薦2,負面推薦3,負面推薦4,負面推薦5,正向推薦1,正向推薦2,正向推薦3,正向推薦4,正向推薦5,優化緣由
誠徵業務高手 (年薪百萬)擴大徵才中!!(桃園分公司),不動產經紀人／營業員,不動產審核／估價師,加盟／招商人員,承銷人員,不動產／商場開發人員,國內業務人員,產品企劃人員,通路開發人員,電話行銷人員,國內業務主管,推薦項目命中率改善
業務助理(大甲),代書／地政士,不動產／商場開發人員,不動產審核／估價師,內勤業務,國內業務人員,業務助理,社群經營人員,倉儲物流人員,理貨人員,行政人員,推薦項目命中率改善
業務助理秘書,秘書,代書／地政士,不動產／商場開發人員,不動產審核／估價師,土地開發人員,業務助理,國外業務人員,國貿人員,行政助理,行政人員,推薦項目命中率改善
🎵 卡比音樂工作室｜儲備幹部招募（士林）.*.*.,編劇及詞曲創作,演藝經紀／宣傳人員,聲樂及演唱家,導演／導播,發行企劃／出版人員,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,推薦項目命中率改善
🎵 卡比音樂工作室｜儲備幹部招募（士林）**..––-,編劇及詞曲創作,聲樂及演唱家,演藝經紀／宣傳人員,導演／導播,發行企劃／出版人員,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,推薦項目命中率改善
🎵 卡比音樂工作室｜儲備幹部招募（士林）**.,編劇及詞曲創作,演藝經紀／宣傳人員,聲樂及演唱家,導演／導播,發行企劃／出版人員,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,推薦項目命中率改善
🎵 卡比音樂工作室｜儲備幹部招募（士林）**..,編劇及詞曲創作,演藝經紀／宣傳人員,聲樂及演唱家,導演／導播,發行企劃／出版人員,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,推薦項目命中率改善
🎵 卡比音樂工作室｜儲備幹部招募（士林）.**,編劇及詞曲創作,演藝經紀／宣傳人員,聲樂及演唱家,導演／導播,發行企劃／出版人員,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,推薦項目命中率改善
🎵 卡比音樂工作室｜儲備幹部招募（士林）.**.,編劇及詞曲創作,演藝經紀／宣傳人員,聲樂及演唱家,導演／導播,發行企劃／出版人員,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,推薦項目命中率改善
🎵 卡比音樂工作室｜儲備幹部招募（士林）**..-,編劇及詞曲創作,演藝經紀／宣傳人員,聲樂及演唱家,導演／導播,發行企劃／出版人員,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,推薦項目命中率改善
🎵 卡比音樂工作室｜儲備幹部招募（士林）**..&ndash;&ndash;,編劇及詞曲創作,演藝經紀／宣傳人員,聲樂及演唱家,導演／導播,發行企劃／出版人員,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,推薦項目命中率改善
【通路-北】櫃台客服人員(淡水),總機／接待／櫃檯人員,電話客服人員,補習班招生人員,電話行銷人員,客服人員,國內業務人員,業務助理,門市／店員／專櫃人員,儲備幹部,行政人員,推薦項目命中率改善
業務助理(假日班),補習班招生人員,內勤業務,國內業務人員,電話行銷人員,電訪人員,行政人員,行政助理,電腦操作／資料輸入,業務助理,秘書,推薦項目命中率改善
儲備行政主管(近捷運西湖站)(薪水14個月),儲備幹部,店長／門市管理人員,駕訓老師,餐飲主管,補習班主任／主管,行政助理,行政人員,檔案資料管理人員,電腦操作／資料輸入,秘書,推薦項目命中率改善
業務助理(電洽優先面試),不動產／商場開發人員,不動產審核／估價師,土地開發人員,代書／地政士,不動產經紀人／營業員,業務助理,國貿助理,行政助理,行政人員,電腦操作／資料輸入,推薦項目命中率改善
Win Win全美語學校-行政老師/培訓主管,語文補習班老師,英文翻譯,作文老師,國中教師,其他教育類老師,行政人員,行政助理,檔案資料管理人員,總機／接待／櫃檯人員,電腦操作／資料輸入,推薦項目命中率改善
⭐️業務助理「薪三萬四起」⭐️歡迎電洽：(02)2668–5202,不動產／商場開發人員,不動產審核／估價師,代書／地政士,土地開發人員,不動產經紀人／營業員,業務助理,行政人員,行政助理,檔案資料管理人員,電腦操作／資料輸入,推薦項目命中率改善
💻【網路直播客服小幫手】月薪32K起｜勞健保＋年終獎金＋無經驗可🎉,網站企劃人員,社群經營人員,數位行銷人員,文字客服,產品企劃人員,行政人員,門市／店員／專櫃人員,業務助理,總務人員,總機／接待／櫃檯人員,推薦項目命中率改善
正職人員(台南),公家機關相關人員,餐飲服務人員,中／港式點心廚師,牙體技術人員,餐廚助手,門市／店員／專櫃人員,包裝員／作業員,外務／快遞／送貨,檔案資料管理人員,總機／接待／櫃檯人員,推薦項目命中率改善
甜點銷售人員(烏日高鐵&台中旗艦店),西點蛋糕師,中式麵點人員／師傅,麵包師,中／港式點心廚師,餐廚助手,門市／店員／專櫃人員,售票／收銀人員,飯店／旅館服務人員,總機／接待／櫃檯人員,,推薦項目命中率改善
輪班主管(非上一休一),園長,特別助理,工廠主管,行政主管,物理相關研究人員,飯店／旅館主管,飯店／旅館櫃檯人員,飯店／旅館服務人員,旅遊休閒類主管,客服主管,推薦項目命中率改善
彩色影印機/事務機維修工程師(無經驗薪$39000),產品設備維修人員,生產設備工程師,維修技術人員,電機維修人員,半導體設備工程師,電子設備維修人員,電器產品維修人員,通信維修人員,電子工程師,客服工程師,推薦項目命中率改善
OA事務商品維護工程師(無經驗薪$39000),MIS工程師,DevOps工程師,資訊助理人員,網路管理工程師,雲端架構師,電子設備維修人員,電器產品維修人員,通信維修人員,電子工程師,客服工程師,推薦項目命中率改善
業務助理(大埔美園區),不動產／商場開發人員,代書／地政士,不動產審核／估價師,國內業務人員,通路開發人員,業務助理,行政助理,財務／會計助理,檔案資料管理人員,行政人員,推薦項目命中率改善
業務助理.,不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,內勤業務,業務助理,社群經營人員,設計助理,網頁設計,行政人員,推薦項目命中率改善
直播小幫手(兼職),社群經營人員,網站企劃人員,數位行銷人員,美編人員,模特兒,電腦操作／資料輸入,客服人員,工讀生,業務助理,行政助理,推薦項目命中率改善
專案執行助理【週休二日】,其他專案管理師,研究助理,法務助理,神秘客,技術文件／說明書編譯,活動企劃人員,行銷企劃人員,廣告文案企劃人員,行銷企劃助理,行政助理,推薦項目命中率改善
專案執行助理◎【週休二日】◎,研究助理,其他專案管理師,法務助理,技術文件／說明書編譯,神秘客,活動企劃人員,行銷企劃人員,廣告文案企劃人員,行銷企劃助理,行政助理,推薦項目命中率改善
特別助理 (大學資訊系畢、英文精通),學校行政人員,技術文件／說明書編譯,資訊助理人員,雲端架構師,雲端工程師,秘書,特別助理,行政人員,行政助理,,推薦項目命中率改善
KEY單人員(意者請親洽或電話聯絡預約面試),帳款催收人員,法務人員,融資／信用業務人員,授權／授信／徵信人員,客服人員,電腦操作／資料輸入,檔案資料管理人員,廠務,行政人員,行政助理,推薦項目命中率改善
夜間整鈔員(台中),管理員,查帳／審計人員,會計／出納／記帳人員,保全人員／警衛,基層管理幹部,包裝員／作業員,售票／收銀人員,搬運人員,行政人員,行政助理,推薦項目命中率改善
業務行政主管,國內業務主管,加盟／招商人員,土地開發人員,專案業務主管,不動產經紀人／營業員,行政人員,業務助理,行政主管,秘書,經營管理主管,推薦項目命中率改善
現場儲備幹部,營建工程人員,學徒,營造工程師,模板工程人員,領班／管理幹部,包裝員／作業員,機械操作人員,基層管理幹部,生產線工程師,儲備幹部,推薦項目命中率改善
桃德園-幼兒園辦公室助理-八德區 (身心障礙職缺-依身心障礙者實施條例召募，需具備手冊),教保員／保育員,托育中心主任／主管,幼教老師,保母／托育人員,志工／義工類人員,資訊助理人員,美編人員,行政人員,行政助理,工讀生,推薦項目命中率改善
業務行政,代書／地政士,秘書,土地開發人員,內勤業務,不動產／商場開發人員,總務人員,行政人員,業務助理,總機／接待／櫃檯人員,工讀生,推薦項目命中率改善
行政助理 (維修部門),產品設備維修人員,生產設備工程師,維修技術人員,廠務助理,維修技術主管,業務助理,行政人員,檔案資料管理人員,行政助理,財務／會計助理,推薦項目命中率改善
🔥助理(休紅字👍彈性上下班👍薪32000~38000),儲備幹部,餐飲服務人員,補習班招生人員,工讀生,學徒,特別助理,行政助理,行政人員,總務人員,財務／會計助理,推薦項目命中率改善
國內出貨助理,內勤業務,國內業務人員,補習班招生人員,電話行銷人員,秘書,國貿助理,採購助理,國貿人員,報關人員,空運／船務,推薦項目命中率改善
外勤偵探、高級調查員、業務(桃園分公司),授權／授信／徵信人員,融資／信用業務人員,承銷人員,法務人員,帳款催收人員,保全人員／警衛,隨扈／安全人員,外務／快遞／送貨,儲備幹部,國內業務人員,推薦項目命中率改善
業務助理(近捷運西湖站)(薪水14個月),汽車銷售人員,國內業務人員,內勤業務,駐校代表,儲備幹部,業務助理,行政助理,行政人員,檔案資料管理人員,電腦操作／資料輸入,推薦項目命中率改善
台大校-全職櫃台行政老師,國中教師,課業輔導老師,升學補習班老師,其他教育類老師,語文補習班老師,總機／接待／櫃檯人員,行政助理,行政人員,檔案資料管理人員,電腦操作／資料輸入,推薦項目命中率改善
"偵測器調校,道路施工現場人員(無經驗可)",防水施工人員,砌磚工及砌石工,模板工程人員,泥水工相關人員,營建雜工／粗工,產品設備維修人員,電子設備維修人員,技術人員,總務人員,電腦操作／資料輸入,推薦項目命中率改善
業務助理(工作經驗半年以上),不動產／商場開發人員,不動產審核／估價師,代書／地政士,土地開發人員,內勤業務,行政人員,行政助理,業務助理,設計助理,電腦操作／資料輸入,推薦項目命中率改善
晚班正職人員(台北建國店),餐飲服務人員,日式廚師,中式廚師,中／港式點心廚師,儲備幹部,行政人員,印前製作人員,外務／快遞／送貨,門市／店員／專櫃人員,電腦操作／資料輸入,推薦項目命中率改善
社工行政會計-(請電洽	0932969237劉小姐預約面試),志工／義工類人員,社會工作人員／督導,就業服務員,社會學研究人員,手語人員,會計／出納／記帳人員,財務／會計助理,行政助理,總務人員,財務分析／財務人員,推薦項目命中率改善
品牌經理/行銷企劃,廣告／行銷企劃主管,產品企劃主管,產品經理,商化人員,策展人員,行銷企劃人員,產品企劃人員,社群經營人員,數位行銷人員,廣告文案企劃人員,推薦項目命中率改善
【台北市信義區】電信業-客戶開發暨維繫處管理師(行銷/分析/營運),客服人員,文字客服,客服工程師,電話行銷人員,內勤業務,產品管理師,行銷企劃助理,行銷企劃人員,數位行銷人員,市場調查／分析人員,推薦項目命中率改善
業務專員,不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,不動產經紀人／營業員,國內業務人員,行銷企劃人員,國貿人員,客服人員,市場調查／分析人員,推薦項目命中率改善
活動策劃人員,婚禮企劃人員,社會學研究人員,市場調查／分析人員,公家機關相關人員,行銷企劃助理,活動企劃人員,策展人員,廣告文案企劃人員,行銷企劃人員,產品管理師,推薦項目命中率改善
系統維護工程師,電腦組裝／維修,DevOps工程師,資安工程師,資訊助理人員,MIS工程師,軟體工程師,網站程式設計師,系統工程師,資料庫管理人員,後端工程師,推薦項目命中率改善
太陽能板巡視檢查人員,能源工程師,營建主管,測量／儀校人員,都市／交通規劃人員,發包人員,檢驗人員,工程助理,機電技師／工程師,電信／配線繪圖,光電工程師,推薦項目命中率改善
工地主任(龍潭),工地主管／主任,營造工程師,工地監工,營建工程人員,營建主管,機電技師／工程師,水電工程師,冷凍空調繪圖／設計,專案經理,電機工程主管,推薦項目命中率改善
工地主任(新竹),工地主管／主任,營造工程師,營建工程人員,工地監工,營建主管,機電技師／工程師,水電工程師,冷凍空調繪圖／設計,專案經理,電機工程主管,推薦項目命中率改善
員林校-全職行政帶班老師,課業輔導老師,國中教師,升學補習班老師,國小教師,其他教育類老師,總機／接待／櫃檯人員,檔案資料管理人員,電腦操作／資料輸入,行政人員,行政助理,推薦項目命中率改善
助理業務,不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,加盟／招商人員,業務助理,國內業務人員,行政人員,檔案資料管理人員,行政助理,推薦項目命中率改善
業務助理(北區),不動產／商場開發人員,代書／地政士,不動產審核／估價師,土地開發人員,加盟／招商人員,社群經營人員,電腦操作／資料輸入,行政人員,檔案資料管理人員,行政助理,推薦項目命中率改善
現場儲備幹部,營建工程人員,學徒,營造工程師,模板工程人員,領班／管理幹部,生管／助理,工廠高階主管,生產線工程師,機械操作人員,儲備幹部,推薦項目命中率改善
業務助理【內湖區】,代書／地政士,不動產／商場開發人員,不動產審核／估價師,土地開發人員,加盟／招商人員,業務助理,國貿助理,國貿人員,行政助理,報關人員,推薦項目命中率改善
中部菜市場/雙人組 平均月薪8萬-30萬（需雙人一組）,中／港式點心廚師,日式廚師,中式廚師,其他料理廚師,餐廚助手,店長／門市管理人員,門市／店員／專櫃人員,國內業務人員,國內業務主管,專案業務主管,推薦項目命中率改善
台中區-新成功店-大夜計時,工讀生,餐飲服務人員,洗碗人員,飯店／旅館工作人員,日式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台南區-和緯店-早班人員,餐飲服務人員,儲備幹部,日式廚師,洗碗人員,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
桃園區-桃園萬壽店-中班人員,餐飲服務人員,洗碗人員,儲備幹部,中／港式點心廚師,日式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
桃園區-桃園萬壽店-大夜人員,洗碗人員,儲備幹部,餐飲服務人員,中／港式點心廚師,日式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
高雄區-高雄中正店-中班人員,餐飲服務人員,儲備幹部,洗碗人員,日式廚師,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
新竹區-自強南店-早班計時,工讀生,餐飲服務人員,洗碗人員,日式廚師,飯店／旅館工作人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
新竹區-大庄店-中班計時,工讀生,餐飲服務人員,洗碗人員,日式廚師,飯店／旅館工作人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
晚班工讀15-23時薪$196起薪,工讀生,餐飲服務人員,安親／課輔老師,補習班招生人員,飯店／旅館工作人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台北區-板橋中正店-大夜人員,儲備幹部,餐飲服務人員,洗碗人員,中／港式點心廚師,日式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台北區-新莊中港二店-中班人員,儲備幹部,餐飲服務人員,中／港式點心廚師,日式廚師,洗碗人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台北區-新莊中港二店-早班人員,餐飲服務人員,儲備幹部,日式廚師,洗碗人員,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台北區-民族店-早班人員,餐飲服務人員,儲備幹部,日式廚師,洗碗人員,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
新竹區-中班儲備(竹北市),志願役軍官／士官／士兵,基層管理幹部,儲備幹部,保全人員／警衛,學徒,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
新竹區-大夜儲備(竹北市),志願役軍官／士官／士兵,基層管理幹部,保全人員／警衛,隨扈／特勤,管理員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台南區-新市店-中班人員,志願役軍官／士官／士兵,保全人員／警衛,儲備幹部,加油服務,洗碗人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台南區-新市店-大夜人員,保全人員／警衛,管理員,志願役軍官／士官／士兵,隨扈／特勤,基層管理幹部,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台北區-三峽中華店-早班人員,餐飲服務人員,日式廚師,儲備幹部,洗碗人員,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
正職人員,公家機關相關人員,日式廚師,餐飲服務人員,餐廚助手,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
台南區-長榮店-早班人員,餐飲服務人員,日式廚師,中／港式點心廚師,洗碗人員,中式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
桃園區-蘆竹大新店-中班人員,志願役軍官／士官／士兵,保全人員／警衛,隨扈／特勤,管理員,基層管理幹部,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
桃園區-蘆竹大新店-大夜人員,保全人員／警衛,管理員,志願役軍官／士官／士兵,隨扈／特勤,基層管理幹部,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
桃園區-桃園永安店-早班人員,餐飲服務人員,洗碗人員,日式廚師,中／港式點心廚師,儲備幹部,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
桃園區-桃園大業店-大夜人員,洗碗人員,儲備幹部,餐飲服務人員,中／港式點心廚師,餐飲主管,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
民復店早班人員,餐飲服務人員,日式廚師,儲備幹部,中／港式點心廚師,洗碗人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家鳳山天興店-正職,儲備幹部,餐飲服務人員,日式廚師,餐飲主管,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店店舖服務員,加油服務,餐飲服務人員,飯店／旅館工作人員,衣物整燙人員,儲備幹部,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店大里新大益店假日班,儲備幹部,中／港式點心廚師,日式廚師,餐飲服務人員,洗碗人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店––萬明店★★工讀晚班,工讀生,餐飲服務人員,洗碗人員,日式廚師,飯店／旅館工作人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店––鴻啟店★★正職晚班,儲備幹部,日式廚師,餐飲服務人員,中／港式點心廚師,中式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店––萬昌店★★正職大夜班,儲備幹部,日式廚師,中／港式點心廚師,餐飲服務人員,中式廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店––摩天店★★正職大夜,儲備幹部,餐飲服務人員,餐飲主管,飯店／旅館工作人員,中／港式點心廚師,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店––亞慶店★★正職大夜班,儲備幹部,日式廚師,中／港式點心廚師,中式廚師,餐飲服務人員,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
全家便利商店––凱撒店★★正職晚班,儲備幹部,餐飲服務人員,日式廚師,中／港式點心廚師,餐飲主管,門市／店員／專櫃人員,售票／收銀人員,,,,推薦項目命中率改善
業務暨開發實習生 Marketing Intern-印尼,印尼翻譯,人力／外勞仲介,代書／地政士,內勤業務,行政助理,業務助理,通路開發人員,駐校代表,國外業務人員,國內業務人員,推薦項目命中率改善
業務助理~無經驗可週休二日薪35000元起🌟歡迎新鮮人加入🌟,不動產／商場開發人員,不動產審核／估價師,代書／地政士,土地開發人員,不動產經紀人／營業員,業務助理,國貿助理,行政助理,國貿人員,國外業務人員,推薦項目命中率改善
業務部-高級專員,代書／地政士,不動產／商場開發人員,土地開發人員,不動產審核／估價師,法務人員,國外業務人員,國貿人員,國外業務主管,產品企劃人員,通路開發人員,推薦項目命中率改善
【台中】 業務二部 - 業務助理,國內業務人員,不動產／商場開發人員,代書／地政士,通路開發人員,不動產審核／估價師,業務助理,行政人員,行政助理,社群經營人員,客服人員,推薦項目命中率改善
宴會訂席主管  業務經理職缺(新店館),飯店／旅館主管,餐飲主管,加盟／招商人員,國內業務主管,儲備幹部,國內業務人員,行銷企劃人員,婚禮企劃人員,產品經理,客服人員,推薦項目命中率改善
業務助理(應屆畢業生可),不動產／商場開發人員,不動產審核／估價師,代書／地政士,土地開發人員,內勤業務,業務助理,國貿助理,電訪人員,行政人員,客服人員,推薦項目命中率改善
【糖村-板橋大遠百店】儲備幹部人員,餐飲服務人員,餐飲領班,儲備幹部,餐飲主管,飯店／旅館工作人員,門市／店員／專櫃人員,售票／收銀人員,店長／門市管理人員,客服人員,,推薦項目命中率改善
業務助理🥮.【新港總部】-(歡迎新鮮人)請於新港總部親洽面試,不動產／商場開發人員,不動產審核／估價師,代書／地政士,國內業務人員,加盟／招商人員,業務助理,行政人員,行政助理,廠務助理,客服人員,推薦項目命中率改善
業務開發人員(承攬制),代書／地政士,不動產／商場開發人員,土地開發人員,不動產審核／估價師,產品經理,融資／信用業務人員,國內業務人員,電話行銷人員,內勤業務,客戶成功經理,推薦項目命中率改善
寵物門市人員(西屯店),寵物溝通師,動物飼育專業人員,寵物美容專業人員,寵物禮儀師,獸醫助理,門市／店員／專櫃人員,總機／接待／櫃檯人員,售票／收銀人員,商化人員,樓面管理人員,推薦項目命中率改善
機電工程師,水電工,維修技術主管,營建主管,水利工程師,ESG永續管理師,水電工程師,電機維修人員,內業工程人員,工地監工,機電技師／工程師,推薦項目命中率改善
機電工程師,水電工,維修技術主管,營建主管,水利工程師,ESG永續管理師,水電工程師,電機維修人員,內業工程人員,工地監工,機電技師／工程師,推薦項目命中率改善
工地監工助理｜駐點台南｜月薪35K-45K,營建工程人員,現場規劃工程師,營造工程師,營建主管,工地主管／主任,工程助理,電機維修人員,學徒,機械工程師,機電技師／工程師,推薦項目命中率改善
電控組裝作業員 (冷氣房作業.無經驗可),組裝組立技術人員,機械設備組裝測試人員,電器產品維修人員,電子設備維修人員,維修技術人員,電機設備裝配員,PLC／自動控制工程師,電機技師／工程師,電機維修人員,機電技師／工程師,推薦項目命中率改善
電控組裝作業員(冷氣房作業),組裝組立技術人員,電器產品維修人員,機械設備組裝測試人員,維修技術人員,冷凍空調技術人員／安裝員,電機設備裝配員,PLC／自動控制工程師,電機技師／工程師,電機維修人員,機電技師／工程師,推薦項目命中率改善
🚀✨現場機電工程師🔧｜配管/電力管線經驗佳 ~（園區案場 / 管線系統） × 全程參與 × 技術深度提升,水電工,營建工程人員,水電工程師,土木技師／工程師,工地主管／主任,工務工管人員,電機技師／工程師,電機設備裝配員,電機維修人員,機電技師／工程師,推薦項目命中率改善
機電監造工程師,營建主管,營造工程師,現場規劃工程師,內業工程人員,ESG永續管理師,工務工管人員,電機技師／工程師,電機設備裝配員,電機維修人員,機電技師／工程師,推薦項目命中率改善
研發助理工程師,測試工程師,生產線工程師,半導體製程工程師,零組件工程師,醫療器材研發工程師,電子工程師,機械工程師,CAD／CAM工程師,機械設計／繪圖人員,機電技師／工程師,推薦項目命中率改善
配電盤技術人員(週休二日),PCB技術人員,包裝員／作業員,機械設備組裝測試人員,維修技術人員,電子設備維修人員,電機技師／工程師,電機維修人員,PLC／自動控制工程師,機電技師／工程師,,推薦項目命中率改善
助理工程師,軟體助理工程師,軟體工程師,系統工程師,韌體工程師,測試工程師,太陽能技術工程師,CAD／CAM工程師,水電及其他工程繪圖人員,機械設計／繪圖人員,機電技師／工程師,推薦項目命中率改善
【台南廠區】 弱電配管拉線(工程師)(領班)(技工),電子設備維修人員,通信維修人員,水電工程師,天然瓦斯配管技師/助理,焊接技術人員,弱電工程師,水電工,電機設備裝配員,領班／管理幹部,機電技師／工程師,推薦項目命中率改善
風場運維人員,農藝栽培專業人員,農藝／畜產研究人員,維修技術主管,產品設備維修人員,工地監工,技術人員,學徒,電機維修人員,電機技師／工程師,機電技師／工程師,推薦項目命中率改善
(新竹關西)機電品管工程師,測量／儀校人員,現場規劃工程師,營建主管,營造工程師,營建工程人員,水電工程師,水電及其他工程繪圖人員,工地品管員／工程師,電機技師／工程師,機電技師／工程師,推薦項目命中率改善
(新竹關西)機電工程師,水電工,維修技術主管,營建主管,水利工程師,弱電工程師,水電工程師,水電及其他工程繪圖人員,工地品管員／工程師,電機技師／工程師,機電技師／工程師,推薦項目命中率改善
工程師,測試工程師,測量／儀校人員,可靠度工程師,能源工程師,半導體製程工程師,弱電工程師,通信維修人員,水電工,電機設備裝配員,機電技師／工程師,推薦項目命中率改善
工程師,測試工程師,測量／儀校人員,可靠度工程師,能源工程師,半導體製程工程師,弱電工程師,通信維修人員,水電工,電機設備裝配員,機電技師／工程師,推薦項目命中率改善
PU保溫作業儲備幹部,製鞋類人員,沖壓模具技術人員,PCB技術人員,機械加工技術人員,噴漆技術人員,技術人員,機械操作人員,生產設備工程師,生管／助理,領班／管理幹部,推薦項目命中率改善
技術員(中班)-請直接來電(03)3816688預約面試,包裝員／作業員,維修技術人員,汽車美容,機械設備組裝測試人員,PCB技術人員,機械操作人員,技術人員,組裝組立技術人員,模具技術人員,塑膠模具技術人員,推薦項目命中率改善
