# ⚠️ 撤回清單（負向回饋用）：以下職缺曾在 4/5 號訓練回饋檔的歷史版本中，被錯誤標記為『理想推薦』的類別。
情境,職缺名稱,duty0,duty1,duty2,duty3,duty4,錯誤類別數,應撤回_錯誤類別_1,應撤回_錯誤類別_2,應撤回_錯誤類別_3,應撤回_錯誤類別_4,應撤回_錯誤類別_5,應撤回_錯誤類別_6,應撤回_錯誤類別_7,應撤回_錯誤類別_8,應撤回_錯誤類別_9,應撤回_錯誤類別_10,應撤回_錯誤類別_11,應撤回_錯誤類別_12,應撤回_錯誤類別_13,應撤回_錯誤類別_14,應撤回_錯誤類別_15,應撤回_錯誤類別_16,應撤回_錯誤類別_17,應撤回_錯誤類別_18,應撤回_錯誤類別_19,曾出現版本
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）**,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,模特兒,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,配音人員,飯店／旅館主管,餐飲主管,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）**..,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,模特兒,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,配音人員,飯店／旅館主管,餐飲主管,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）.**,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,模特兒,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,配音人員,飯店／旅館主管,餐飲主管,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）.**.,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,配音人員,音響／音控技術人員,飯店／旅館主管,餐飲主管,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）*。,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,模特兒,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,配音人員,飯店／旅館主管,餐飲主管,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）*,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,模特兒,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,配音人員,飯店／旅館主管,餐飲主管,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）**..-,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,模特兒,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,資材主管,配音人員,飯店／旅館主管,餐飲主管,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🎵 卡比音樂工作室｜儲備幹部招募（士林）**..&ndash;&ndash;,總機／接待／櫃檯人員,編輯／文字類人員,儲備幹部,基層管理幹部,行政人員,18,人事／人力資源主管,侍酒師,冷熱飲調製人員,剪輯師,品管／品保主管,售票／收銀人員,導演／導播,店長／門市管理人員,影片製作技術人員,演藝經紀／宣傳人員,發行企劃／出版人員,編劇及詞曲創作,聲樂及演唱家,調酒師／吧台人員,資材主管,配音人員,音響／音控技術人員,餐飲主管,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,外場服務人員,餐飲服務人員,餐廚助手,生鮮處理人員,冷熱飲調製人員,工讀生,9,休閒娛樂事業從業人員,侍酒師,售票／收銀人員,房務人員,神秘客,調酒師／吧台人員,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,人資助理/專員,人事／人力資源專員,會計／出納／記帳人員,行政人員,行政助理,電腦操作／資料輸入,9,人事助理,執行製作／助理,媒體公關人員,採購助理,攝影助理,生管／助理,秘書,行銷企劃助理,資訊助理人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【薪資31000起(未含加班費.國定假日.獎金)，請電洽】行政內勤人員,行政人員,財務／會計助理,業務助理,電腦操作／資料輸入,總機／接待／櫃檯人員,8,內勤業務,國貿助理,客服人員,廣告文案企劃人員,票務人員／旅行社人員,秘書,行政助理,電話客服人員,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,★台中公益館-活動指導專員,休閒娛樂事業從業人員,門市／店員／專櫃人員,遊樂景點工作人員,飯店／旅館服務人員,總機／接待／櫃檯人員,9,傳播媒體編輯企劃,公關企劃人員,售票／收銀人員,媒體公關人員,導演／導播,導遊／領隊／導覽,活動企劃人員,表演／主持／直播人員,電腦操作／資料輸入,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,鐘點計時人員｜歡迎電洽0918237522 / 05-2601668 蔡小姐,工讀生,餐飲服務人員,門市／店員／專櫃人員,售票／收銀人員,總機／接待／櫃檯人員,13,中式麵點人員／師傅,中／港式點心廚師,侍酒師,冷熱飲調製人員,外送人員,日式廚師,洗碗人員,西式廚師,西點蛋糕師,調酒師／吧台人員,飯店／旅館工作人員,餐廚助手,麵包師,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,派駐國外、管理幹部,經營管理主管,國外業務主管,工廠高階主管,採購主管,財務／會計主管,9,儲備幹部,品管／品保主管,客服主管,店長／門市管理人員,旅遊休閒類主管,生管主管,產品經理,資材主管,電機工程主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,OA事務商品維護工程師(無經驗薪$39000),電子設備維修人員,電器產品維修人員,通信維修人員,電子工程師,客服工程師,17,DevOps工程師,ERP專案管理師,FAE工程師,IC設計工程師,MIS工程師,PCB-Layout佈局工程師,RF通訊工程師,專案經理,嵌入式工程師,現場規劃工程師,網路管理工程師,資安工程師,資訊助理人員,軟體工程師,雲端工程師,雲端架構師,韌體工程師,,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,(午班)電訪客服人員(13:30~17:30),客服人員,電話行銷人員,電訪人員,電話客服人員,客服工程師,9,國貿人員,國貿助理,採購助理,文字客服,業務助理,活動企劃人員,生管／助理,秘書,資材人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,南台中商化專員（全聯通路）,通路開發人員,國內業務人員,門市／店員／專櫃人員,業務助理,店長／門市管理人員,9,商化人員,客服主管,廣告設計,攝影師,文字記者,產品企劃人員,神秘客,表演／主持／直播人員,資材人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,業務助理/美編/設計/網路/行銷,美編人員,客服人員,社群經營人員,行銷企劃人員,行政人員,9,國貿助理,排版人員,採購助理,業務助理,活動企劃人員,秘書,行銷企劃助理,財務／會計助理,電腦操作／資料輸入,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🏢【工務助理／內業文書助理】,工務助理,內業工程人員,估算人員,電腦操作／資料輸入,行政人員,8,內勤業務,其他語言翻譯／口譯人員,國貿助理,採購助理,業務助理,秘書,行政助理,財務／會計助理,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,樹木巡查及文書資料處理(意者請洽0906-360-108李小姐),檔案資料管理人員,農藝栽培專業人員,花藝／園藝人員,業務助理,行政助理,8,國貿人員,國貿助理,排版人員,採購助理,秘書,行政人員,財務／會計助理,電腦操作／資料輸入,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,直播小幫手(兼職),電腦操作／資料輸入,客服人員,工讀生,業務助理,行政助理,17,國貿助理,執行製作／助理,大圖輸出後製人員,媒體公關人員,排版人員,採購助理,數位行銷人員,模特兒,活動企劃人員,社群經營人員,秘書,網站企劃人員,編輯／文字類人員,美編人員,行銷企劃助理,資訊助理人員,電商行銷,,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,電商客服人員～台北市萬華區,客服人員,電話客服人員,門市／店員／專櫃人員,業務助理,行政助理,9,國外業務人員,國貿人員,國貿助理,報關人員,採購助理,文字客服,活動企劃人員,生管／助理,資材人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,KEY單人員(意者請親洽或電話聯絡預約面試),電腦操作／資料輸入,檔案資料管理人員,廠務,行政人員,行政助理,18,倉儲物流人員,倉管／物料管理員,客服人員,帳款催收人員,房務人員,技術文件／說明書編譯,授權／授信／徵信人員,文字客服,法務人員,法務助理,理貨人員,生管／助理,神秘客,融資／信用業務人員,資料庫管理人員,資材人員,電話客服人員,電話行銷人員,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,北投-育苗W薇閣資優教室-國高中導師,補習班導師,升學補習班老師,語文補習班老師,行政人員,行政助理,9,冷熱飲調製人員,國中教師,國小教師,安親課輔老師,工讀生,藥師,調酒師／吧台人員,音樂老師,高中職教師,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,早安胖丸  儲備幹部,中式廚師,餐飲領班,餐廚助手,餐飲服務人員,儲備幹部,9,冷熱飲調製人員,品管／品保主管,售票／收銀人員,店長／門市管理人員,西式廚師,調酒師／吧台人員,資材主管,門市／店員／專櫃人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,小豬很忙蔬果滷味-儲備幹部(逢甲店),餐飲服務人員,生鮮處理人員,其他料理廚師,餐廚助手,儲備幹部,9,冷熱飲調製人員,品管／品保主管,售票／收銀人員,店長／門市管理人員,調酒師／吧台人員,資材主管,資材人員,門市／店員／專櫃人員,餐飲主管,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,引擎半技師,汽車維修人員,汽車引擎技術人員,技術人員,其他車輛維修人員,儲備幹部,9,CNC車床人員,壓鑄模具技術人員,放電加工技術人員,智慧製程工程師,模具技術人員,機車維修人員,汽車檢驗員,電機技師／工程師,電機設備裝配員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,現場儲備幹部,包裝員／作業員,機械操作人員,基層管理幹部,生產線工程師,儲備幹部,18,PLC／自動控制工程師,學徒,工地主管／主任,智慧製程工程師,模板工程人員,水電工,測量／儀校人員,營建主管,營建工程人員,營造工程師,生管主管,資材主管,資材人員,防水施工人員,電機工程主管,電機技師／工程師,電機設備裝配員,領班／管理幹部,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,中班計時人員(工讀兼職計時皆可),餐飲服務人員,餐廚助手,生鮮處理人員,洗碗人員,工讀生,9,休閒娛樂事業從業人員,冷熱飲調製人員,售票／收銀人員,外送人員,藥師助理,調酒師／吧台人員,遊樂景點工作人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,官東燒肉食堂-外場計時人員,餐飲服務人員,餐廚助手,日式廚師,其他料理廚師,工讀生,8,侍酒師,冷熱飲調製人員,外送人員,洗碗人員,西式廚師,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,🔥助理(休紅字👍彈性上下班👍薪32000~38000),特別助理,行政助理,行政人員,總務人員,財務／會計助理,18,不動產／商場開發人員,人事助理,儲備幹部,公家機關相關人員,國貿助理,執行製作／助理,學徒,工讀生,採購助理,牙體技術人員,生管／助理,秘書,總機／接待／櫃檯人員,行銷企劃助理,補習班招生人員,資訊助理人員,電腦操作／資料輸入,餐飲服務人員,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,編輯人員(瑞穗有機生態農場),編輯／文字類人員,教材編輯人員,校對人員,技術文件／說明書編譯,電腦操作／資料輸入,9,傳播媒體編輯企劃,國貿人員,大圖輸出後製人員,影片製作技術人員,文字客服,活動企劃人員,生管／助理,資料庫管理人員,資材人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,(鳳山)法拍撤回業務專員,國內業務人員,融資／信用業務人員,不動產審核／估價師,授權／授信／徵信人員,財務分析／財務人員,9,保險業務員／經紀人,國外業務主管,國外業務人員,國貿人員,報關人員,廣告AE,文字客服,空運／船務,越南翻譯／口譯人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,"✿信用卡電催專員(純內勤且保障底薪,高獎金,誠徵正職人員)",帳款催收人員,電話行銷人員,國內業務人員,國內業務人員,融資／信用業務人員,9,內勤業務,客服人員,核保／保險內勤人員,票務人員／旅行社人員,稽核主管,稽核人員,電話客服人員,餐廚助手,餐飲服務人員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,*葡萄酒美工企劃人員,行銷企劃人員,活動企劃人員,平面設計,美編人員,廣告文案企劃人員,9,侍酒師,冷熱飲調製人員,售票／收銀人員,業務助理,秘書,行政人員,調酒師／吧台人員,門市／店員／專櫃人員,電腦操作／資料輸入,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【無經驗可】企劃助理,活動企劃人員,行銷企劃助理,行銷企劃人員,廣告文案企劃人員,市場調查／分析人員,8,國貿助理,排版人員,採購助理,業務助理,秘書,行政人員,財務／會計助理,電腦操作／資料輸入,,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,【台北市信義區】電信業-客戶開發暨維繫處管理師(行銷/分析/營運),產品管理師,行銷企劃助理,行銷企劃人員,數位行銷人員,市場調查／分析人員,17,內勤業務,國內業務人員,國外業務人員,客戶成功經理,客服主管,客服人員,客服工程師,專案經理,廣告AE,文字客服,產品企劃人員,產品經理,神秘客,資料庫管理人員,通路開發人員,電話客服人員,電話行銷人員,,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,系統維護工程師,軟體工程師,網站程式設計師,系統工程師,資料庫管理人員,後端工程師,15,DevOps工程師,IC設計工程師,MES工程師,MIS工程師,全端工程師,冷凍空調技術人員／安裝員,土木工程師,嵌入式工程師,水電工程師,網路管理工程師,資安工程師,資訊助理人員,電子設備維修人員,電源工程師,電腦組裝／維修,,,,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,楠梓徵正職技術員/封裝測試大廠/固定班/留任獎金10000元,包裝員／作業員,組裝組立技術人員,PCB技術人員,技術人員,IC封裝／測試工程師,9,原料檢驗人員,品管人員,塑膠模具技術人員,模具技術人員,機械加工技術人員,檢驗人員,汽車檢驗員,電機技師／工程師,電機設備裝配員,,,,,,,,,,,v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,太陽能板巡視檢查人員,檢驗人員,工程助理,機電技師／工程師,電信／配線繪圖,光電工程師,18,PLC／自動控制工程師,估算人員,內業工程人員,太陽能技術工程師,水電工,水電工程師,測量／儀校人員,燈光技術人員,營建主管,營造工程師,發包人員,神秘客,能源工程師,都市／交通規劃人員,電器產品維修人員,電子設備維修人員,電機技師／工程師,電機設備裝配員,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
enhancement_排序待優化,工地主任(龍潭),機電技師／工程師,水電工程師,冷凍空調繪圖／設計,專案經理,電機工程主管,13,內業工程人員,土木工程師,土木技師,土木技師／工程師,工地主管／主任,工地品管員／工程師,工地監工,營建主管,營建工程人員,營造工程師,現場規劃工程師,結構技師／工程師,金屬建材架構人員,,,,,,,v2-worst(14412筆版)｜v3-enh(18181筆版)｜v4-enh(19131筆版)｜v5-enh(18737筆版)｜v6-合併版｜v7-合併版(worst已修/enh仍污染)
