# worst case 拯救方案：已驗證安全的手術式修正（儲備幹部/駐校代表/電話行銷人員 三桶，共615筆，零誤傷本次已救回案例）
問題桶,職缺名稱,duty0,duty1,duty2,duty3,duty4,現有版本_推薦1,現有版本_推薦2,現有版本_推薦3,現有版本_推薦4,現有版本_推薦5,現有版本_推薦6,現有版本_推薦7,現有版本_推薦8,現有版本_推薦9,現有版本_推薦10,理想推薦_1,理想推薦_2,理想推薦_3,理想推薦_4,理想推薦_5,理想推薦_6,理想推薦_7,理想推薦_8,理想推薦_9,理想推薦_10
儲備幹部類(連鎖超商+班別),全家便利商店（新竹綠光店）大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,日式廚師,中／港式點心廚師,中式廚師,洗碗人員,餐飲服務人員,餐飲主管,店長／門市管理人員,其他料理廚師,餐廚助手,門市／店員／專櫃人員,餐飲主管,店長／門市管理人員,其他料理廚師,餐廚助手,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店-桃園高鐵加盟店（正職早班）,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,土地開發人員,不動產／商場開發人員,樓面管理人員,不動產審核／估價師,餐飲服務人員,門市／店員／專櫃人員,加盟／招商人員,店長／門市管理人員,餐飲主管,不動產經紀人／營業員,土地開發人員,不動產／商場開發人員,樓面管理人員,不動產審核／估價師,
儲備幹部類(連鎖超商+班別),全家便利商店台中樂活店徵-夜班人員,門市／店員／專櫃人員,售票／收銀人員,,,,洗碗人員,餐飲服務人員,儲備幹部,日式廚師,衣物整燙人員,總機／接待／櫃檯人員,中／港式點心廚師,家事服務／洗衣整燙,加油服務,飯店／旅館工作人員,門市／店員／專櫃人員,衣物整燙人員,總機／接待／櫃檯人員,家事服務／洗衣整燙,加油服務,飯店／旅館工作人員,,,,
儲備幹部類(連鎖超商+班別),全家便利商店(台南忠義店)-正職大夜〝短期勿試〝歡迎二度就業面試,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,中／港式點心廚師,餐飲服務人員,日式廚師,加油服務,中式廚師,洗碗人員,餐廚助手,生鮮處理人員,中式麵點人員／師傅,門市／店員／專櫃人員,加油服務,餐廚助手,生鮮處理人員,中式麵點人員／師傅,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店竹北金六家店【晚班正職】,門市／店員／專櫃人員,售票／收銀人員,,,,餐飲服務人員,儲備幹部,日式廚師,餐飲主管,中／港式點心廚師,中式廚師,其他料理廚師,洗碗人員,店長／門市管理人員,餐飲領班,門市／店員／專櫃人員,餐飲主管,其他料理廚師,店長／門市管理人員,餐飲領班,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店竹北金六家店【早班正職】,門市／店員／專櫃人員,售票／收銀人員,,,,儲備幹部,餐飲服務人員,日式廚師,餐飲主管,中／港式點心廚師,中式廚師,其他料理廚師,店長／門市管理人員,洗碗人員,餐飲領班,門市／店員／專櫃人員,餐飲主管,其他料理廚師,店長／門市管理人員,餐飲領班,,,,,
儲備幹部類(連鎖超商+班別),全家三重菜寮店 大夜班,門市／店員／專櫃人員,售票／收銀人員,,,,洗碗人員,儲備幹部,衣物整燙人員,家事服務／洗衣整燙,中／港式點心廚師,日式廚師,中式廚師,其他料理廚師,餐飲服務人員,餐飲主管,門市／店員／專櫃人員,衣物整燙人員,家事服務／洗衣整燙,其他料理廚師,餐飲主管,,,,,
儲備幹部類(連鎖超商+班別),全家便利商店-延吉店-早班正職人員,店長／門市管理人員,門市／店員／專櫃人員,,,,餐飲服務人員,日式廚師,中／港式點心廚師,儲備幹部,中式廚師,生鮮處理人員,餐飲領班,洗碗人員,餐廚助手,其他料理廚師,店長／門市管理人員,生鮮處理人員,餐飲領班,餐廚助手,其他料理廚師,,,,,
儲備幹部類(連鎖超商+班別),全家俊美店早班晚班,店長／門市管理人員,門市／店員／專櫃人員,,,,日式廚師,儲備幹部,餐飲服務人員,中／港式點心廚師,洗碗人員,中式廚師,餐飲主管,其他料理廚師,餐廚助手,鐵板燒廚師,店長／門市管理人員,餐飲主管,其他料理廚師,餐廚助手,鐵板燒廚師,,,,,
駐校代表(理貨/駐點誤判),【彰化彰草路】理貨人員11:30-13:30【CH3002】,工讀生,倉儲物流人員,,,,駐校代表,汽車銷售人員,內勤業務,樓面管理人員,國內業務人員,隨車人員,主管駕駛,補習班招生人員,門市／店員／專櫃人員,通路開發人員,倉儲物流人員,汽車銷售人員,內勤業務,樓面管理人員,國內業務人員,隨車人員,主管駕駛,補習班招生人員,門市／店員／專櫃人員,通路開發人員
駐校代表(理貨/駐點誤判),【彰化彰草路】理貨人員19:30-23:00【CH3003】,工讀生,倉儲物流人員,,,,駐校代表,汽車銷售人員,內勤業務,樓面管理人員,國內業務人員,隨車人員,主管駕駛,補習班招生人員,門市／店員／專櫃人員,通路開發人員,倉儲物流人員,汽車銷售人員,內勤業務,樓面管理人員,國內業務人員,隨車人員,主管駕駛,補習班招生人員,門市／店員／專櫃人員,通路開發人員
駐校代表(理貨/駐點誤判),✠新富路早班理貨✠月入35K起 ✠(近新屋范姜祖堂) A2,包裝員／作業員,倉儲物流人員,,,,駐校代表,補習班招生人員,隨車人員,樓面管理人員,門市／店員／專櫃人員,汽車銷售人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,電訪人員,包裝員／作業員,補習班招生人員,隨車人員,樓面管理人員,門市／店員／專櫃人員,汽車銷售人員,內勤業務,國內業務人員,總機／接待／櫃檯人員,電訪人員
駐校代表(理貨/駐點誤判),二林二溪路二段05:00～09:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,補習班招生人員,內勤業務,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,國內業務人員,電訪人員,門市／店員／專櫃人員,隨車人員,倉儲物流人員,補習班招生人員,內勤業務,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,國內業務人員,電訪人員,門市／店員／專櫃人員,隨車人員
駐校代表(理貨/駐點誤判),蘆竹南山路17:00～20:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,汽車銷售人員,內勤業務,樓面管理人員,補習班招生人員,國內業務人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,隨車人員,售票／收銀人員,倉儲物流人員,汽車銷售人員,內勤業務,樓面管理人員,補習班招生人員,國內業務人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,隨車人員,售票／收銀人員
駐校代表(理貨/駐點誤判),蘆竹南山路04:00～09:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,內勤業務,汽車銷售人員,樓面管理人員,補習班招生人員,總機／接待／櫃檯人員,國內業務人員,門市／店員／專櫃人員,隨車人員,電訪人員,倉儲物流人員,內勤業務,汽車銷售人員,樓面管理人員,補習班招生人員,總機／接待／櫃檯人員,國內業務人員,門市／店員／專櫃人員,隨車人員,電訪人員
駐校代表(理貨/駐點誤判),竹北台元科技園區16:00～22:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,內勤業務,補習班招生人員,汽車銷售人員,樓面管理人員,國內業務人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,電訪人員,電話行銷人員,倉儲物流人員,內勤業務,補習班招生人員,汽車銷售人員,樓面管理人員,國內業務人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,電訪人員,電話行銷人員
駐校代表(理貨/駐點誤判),週休二日烏日高鐵一路理貨人員19:30～04:00,倉儲物流人員,理貨人員,,,,駐校代表,汽車銷售人員,補習班招生人員,內勤業務,隨車人員,國內業務人員,電訪人員,加油服務,舉牌／傳單／派報員,電話客服人員,倉儲物流人員,汽車銷售人員,補習班招生人員,內勤業務,隨車人員,國內業務人員,電訪人員,加油服務,舉牌／傳單／派報員,電話客服人員
駐校代表(理貨/駐點誤判),蘆竹南山路05:00～09:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,內勤業務,汽車銷售人員,樓面管理人員,補習班招生人員,總機／接待／櫃檯人員,國內業務人員,門市／店員／專櫃人員,隨車人員,電訪人員,倉儲物流人員,內勤業務,汽車銷售人員,樓面管理人員,補習班招生人員,總機／接待／櫃檯人員,國內業務人員,門市／店員／專櫃人員,隨車人員,電訪人員
駐校代表(理貨/駐點誤判),中和區橋和路17:30～22:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,內勤業務,補習班招生人員,樓面管理人員,汽車銷售人員,總機／接待／櫃檯人員,隨車人員,國內業務人員,飯店／旅館櫃檯人員,門市／店員／專櫃人員,倉儲物流人員,內勤業務,補習班招生人員,樓面管理人員,汽車銷售人員,總機／接待／櫃檯人員,隨車人員,國內業務人員,飯店／旅館櫃檯人員,門市／店員／專櫃人員
駐校代表(理貨/駐點誤判),桃園大園區五福路17:30～22:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,內勤業務,汽車銷售人員,補習班招生人員,樓面管理人員,總機／接待／櫃檯人員,國內業務人員,隨車人員,門市／店員／專櫃人員,飯店／旅館櫃檯人員,倉儲物流人員,內勤業務,汽車銷售人員,補習班招生人員,樓面管理人員,總機／接待／櫃檯人員,國內業務人員,隨車人員,門市／店員／專櫃人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),竹北市新工二路04:00～09:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,內勤業務,汽車銷售人員,補習班招生人員,樓面管理人員,國內業務人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,隨車人員,電訪人員,倉儲物流人員,內勤業務,汽車銷售人員,補習班招生人員,樓面管理人員,國內業務人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,隨車人員,電訪人員
駐校代表(理貨/駐點誤判),桃園區建國路16:00～20:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,內勤業務,補習班招生人員,汽車銷售人員,樓面管理人員,總機／接待／櫃檯人員,國內業務人員,隨車人員,門市／店員／專櫃人員,電訪人員,倉儲物流人員,內勤業務,補習班招生人員,汽車銷售人員,樓面管理人員,總機／接待／櫃檯人員,國內業務人員,隨車人員,門市／店員／專櫃人員,電訪人員
駐校代表(理貨/駐點誤判),豐原大道五段06:00～09:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,補習班招生人員,內勤業務,總機／接待／櫃檯人員,汽車銷售人員,樓面管理人員,國內業務人員,電訪人員,門市／店員／專櫃人員,電話行銷人員,倉儲物流人員,補習班招生人員,內勤業務,總機／接待／櫃檯人員,汽車銷售人員,樓面管理人員,國內業務人員,電訪人員,門市／店員／專櫃人員,電話行銷人員
駐校代表(理貨/駐點誤判),和美線東路二段08:30～17:30理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,補習班招生人員,內勤業務,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,國內業務人員,電訪人員,門市／店員／專櫃人員,飯店／旅館櫃檯人員,倉儲物流人員,補習班招生人員,內勤業務,總機／接待／櫃檯人員,樓面管理人員,汽車銷售人員,國內業務人員,電訪人員,門市／店員／專櫃人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),豐原大道五段15:00～20:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,補習班招生人員,內勤業務,總機／接待／櫃檯人員,汽車銷售人員,樓面管理人員,國內業務人員,電訪人員,門市／店員／專櫃人員,電話行銷人員,倉儲物流人員,補習班招生人員,內勤業務,總機／接待／櫃檯人員,汽車銷售人員,樓面管理人員,國內業務人員,電訪人員,門市／店員／專櫃人員,電話行銷人員
駐校代表(理貨/駐點誤判),土城三民路17:30～22:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,內勤業務,汽車銷售人員,補習班招生人員,樓面管理人員,國內業務人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員,倉儲物流人員,內勤業務,汽車銷售人員,補習班招生人員,樓面管理人員,國內業務人員,總機／接待／櫃檯人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員
駐校代表(理貨/駐點誤判),內湖民善街17:30～22:00理貨人員,倉儲物流人員,理貨人員,,,,駐校代表,補習班招生人員,內勤業務,樓面管理人員,總機／接待／櫃檯人員,汽車銷售人員,國內業務人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員,倉儲物流人員,補習班招生人員,內勤業務,樓面管理人員,總機／接待／櫃檯人員,汽車銷售人員,國內業務人員,門市／店員／專櫃人員,電訪人員,飯店／旅館櫃檯人員
