# 情境：worst_practice｜說明：AI推薦1~10完全沒命中廠商送出的任一職類（不管同中類、同大類，都算沒命中）
情境,職缺名稱,duty0,duty1,duty2,duty3,duty4,職類推薦1,職類推薦2,職類推薦3,職類推薦4,職類推薦5,職類推薦6,職類推薦7,職類推薦8,職類推薦9,職類推薦10,命中名次,前5名覆蓋數,廠商送出數
worst_practice,社區經理-東區,總幹事,專案管理主管,基層管理幹部,行政主管,總務主管,社群經營人員,資材主管,產品經理,專案業務主管,金融營業人員,保險業務員／經紀人,飯店／旅館主管,媒體公關主管,國內業務主管,產品企劃主管,,0,5
worst_practice,行政兼職助教(工讀生),助教,補習班導師,工讀生,行政助理,總機／接待／櫃檯人員,行政人員,電腦操作／資料輸入,總務人員,排版人員,秘書,禮賓接待人員,資訊助理人員,財務／會計助理,檔案資料管理人員,醫院行政管理人員,,0,5
worst_practice,行政助理(營業部),行政助理,婚禮企劃人員,活動企劃人員,行銷企劃助理,總機／接待／櫃檯人員,秘書,業務助理,財務／會計助理,行政人員,國貿助理,電腦操作／資料輸入,採購助理,行政主管,排版人員,檔案資料管理人員,,0,5
worst_practice,技術銷售工程師(大高雄地區),機械工程主管,機械工程師,金屬模具技術人員,製程主管,國內業務主管,PLC／自動控制工程師,工業設計,電機技師／工程師,水電工程師,電機設備裝配員,技術人員,模具技術人員,智慧製程工程師,電器產品維修人員,水電工,,0,5
worst_practice,【生技】電商營運商開企劃專員MD 【消費性保健美妝商品】,行銷企劃人員,廣告／行銷企劃主管,市場調查／分析人員,產品經理,國內業務主管,國外業務人員,報關人員,國貿人員,資材人員,醫藥業務代表,保險業務員／經紀人,產品企劃人員,產品企劃主管,生管／助理,採購人員,,0,5
worst_practice,1.課程規劃專員,國內業務人員,行銷企劃人員,客服人員,教育訓練人員,人事／人力資源專員,演算法開發工程師,RF通訊工程師,韌體工程師,機器學習工程師,軟／韌體測試工程師,區塊鏈工程師,數位IC設計工程師,AI工程師,機械設計／繪圖人員,嵌入式工程師,,0,5
worst_practice,高雄夜班帳務整鈔人員(高雄),行政助理,售票／收銀人員,包裝員／作業員,工讀生,行政人員,會計／出納／記帳人員,查帳／審計人員,財務分析／財務人員,稅務人員,財務／會計助理,總務人員,國貿人員,報關人員,電腦操作／資料輸入,秘書,,0,5
worst_practice,晚班訂單處理人員(台北所),電腦操作／資料輸入,電話客服人員,業務助理,行政助理,行政人員,倉管／物料管理員,倉儲物流人員,理貨人員,包裝員／作業員,生管／助理,資材人員,CNC車床人員,技術人員,雷射技術操作員,生鮮處理人員,,0,5
worst_practice,【前鎮-臨廣加工區】食品公司徵正職生管人員,生管／助理,廠務,廠務助理,行政助理,行政人員,門市／店員／專櫃人員,品管／品保主管,資材主管,資材人員,ISO品保人員,調酒師／吧台人員,智慧製程工程師,產品經理,生鮮處理人員,品管人員,,0,5
worst_practice,全職櫃台人員(三重區),醫院行政管理人員,診所助理,總機／接待／櫃檯人員,行政助理,行政人員,飯店／旅館櫃檯人員,飯店／旅館服務人員,房務人員,神秘客,資材人員,資料庫管理人員,客服主管,空服人員,售票／收銀人員,電腦操作／資料輸入,,0,5
worst_practice,1111人力銀行-徵內部正職員工(常駐楠梓加工區),人事／人力資源專員,人力／外勞仲介,人事助理,行政助理,行政人員,稽核人員,餐廚助手,稽核主管,餐飲服務人員,品管／品保主管,資材主管,其他料理廚師,客服人員,資材人員,內勤業務,,0,5
worst_practice,📢【仁武正職】機械設備大廠-人資主管,人事／人力資源主管,儲備幹部,人事／人力資源專員,行政主管,行政人員,電機工程主管,生管主管,智慧製程工程師,電機技師／工程師,生產線工程師,水電工,電機設備裝配員,設備工程主管,PLC／自動控制工程師,製程主管,,0,5
worst_practice,業務輔導員(臺北市職場永續專案辦公室),就業服務員,人事／人力資源專員,教育訓練人員,社會工作人員／督導,人力／外勞仲介,國貿人員,活動企劃人員,行政人員,秘書,國貿助理,業務助理,文字客服,電腦操作／資料輸入,採購助理,財務／會計助理,,0,5
worst_practice,攝影美編助理,美編人員,攝影助理,影片製作技術人員,剪輯師,工讀生,資訊助理人員,行銷企劃助理,特別助理,媒體公關人員,行政人員,人事助理,執行製作／助理,秘書,電腦操作／資料輸入,財務／會計助理,,0,5
worst_practice,行政櫃檯 (南科園區),總機／接待／櫃檯人員,門市／店員／專櫃人員,行政助理,客服人員,工讀生,行政人員,醫院行政管理人員,總務人員,電腦操作／資料輸入,秘書,排版人員,檔案資料管理人員,財務／會計助理,國貿人員,舞蹈演藝人員,,0,5
worst_practice,機房代班人員(北市南港)[派遣]駐點公部門班底,系統工程師,軟體助理工程師,資訊助理人員,工讀生,電腦操作／資料輸入,PLC／自動控制工程師,水電工,工業設計,資材人員,電機技師／工程師,機構工程師,電機設備裝配員,CAD／CAM工程師,生管主管,客服主管,,0,5
worst_practice,外銷食品企劃人員,國貿助理,採購助理,行銷企劃助理,行政助理,電腦操作／資料輸入,產品企劃主管,行銷企劃人員,門市／店員／專櫃人員,產品經理,活動企劃人員,傳播媒體編輯企劃,公關企劃人員,業務助理,售票／收銀人員,廣告設計,,0,5
worst_practice,櫃檯行政招生,補習班招生人員,電話行銷人員,客服人員,門市／店員／專櫃人員,總機／接待／櫃檯人員,行政人員,行政主管,醫院行政管理人員,總務人員,電腦操作／資料輸入,人力／外勞仲介,舞蹈演藝人員,秘書,檔案資料管理人員,國貿人員,,0,5
worst_practice,民宿 房務管家 (有經驗佳),飯店／旅館櫃檯人員,飯店／旅館服務人員,客服人員,門市／店員／專櫃人員,總機／接待／櫃檯人員,房務人員,客服主管,神秘客,儲備幹部,產品經理,水電工程師,土木工程師,旅遊休閒類主管,休閒娛樂事業從業人員,水電工,,0,5
worst_practice,【一宮壽喜燒】- 早晚班工讀（北屯總站店）,工讀生,餐廚助手,餐飲服務人員,生鮮處理人員,總機／接待／櫃檯人員,飯店／旅館服務人員,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,侍酒師,售票／收銀人員,餐飲主管,休閒娛樂事業從業人員,遊樂景點工作人員,外送人員,,0,5
worst_practice,國外部開發人員,國貿人員,國外業務人員,產品企劃人員,通路開發人員,國外業務主管,硬體工程研發主管,零組件工程師,化學／化工工程師,專案管理主管,產品管理師,材料研發人員,電子工程師,鞋類／皮件設計,汽車研發人員,結構技師／工程師,,0,5
worst_practice,晩班客服人員,電訪人員,電話客服人員,客服人員,總機／接待／櫃檯人員,客服主管,資材人員,文字客服,業務助理,國貿人員,生管／助理,國貿助理,採購助理,秘書,電腦操作／資料輸入,售票／收銀人員,,0,5
worst_practice,產品銷售工程師 ＊需備汽車駕照，公司備有公務車 ＊產品開發銷售獎金,國內業務人員,產品企劃人員,通路開發人員,業務工程師,客服工程師,化學／化工工程師,產品管理師,工業設計,零組件工程師,電子工程師,醫療器材研發工程師,汽車研發人員,光學工程師,材料研發人員,硬體工程研發主管,,0,5
worst_practice,網管客服專員(網管部),電話客服人員,客服人員,行政人員,資訊助理人員,客服工程師,客服主管,國外業務主管,客戶成功經理,資材人員,文字客服,國內業務主管,行政主管,專案經理,產品企劃主管,儲備幹部,,0,5
worst_practice,外勞宿舍生活輔導員(台北/新北/桃園/新竹),人力／外勞仲介,其他語言翻譯／口譯人員,保全人員／警衛,管理員,行政人員,資材人員,調酒師／吧台人員,房務人員,木工,冷熱飲調製人員,智慧製程工程師,神秘客,生管／助理,工業設計,工讀生,,0,5
worst_practice,＜高雄小港區＞櫃台總機人員(長期免加班/夜校生可),工讀生,總機／接待／櫃檯人員,行政助理,電腦操作／資料輸入,行政人員,資材人員,資料庫管理人員,生管／助理,空服人員,影片製作技術人員,醫院行政管理人員,倉管／物料管理員,倉儲物流人員,文字客服,神秘客,,0,5
worst_practice,房地產美編,美編人員,社群經營人員,業務助理,行銷企劃助理,行政助理,客服主管,國內業務人員,儲備幹部,產品企劃主管,廣告設計,國外業務主管,國內業務主管,廣告AE,保險業務員／經紀人,不動產經紀人／營業員,,0,5
worst_practice,外業測量助理,測量／儀校人員,工務助理,機械設計／繪圖人員,水電及其他工程繪圖人員,行政助理,生管／助理,資訊助理人員,國貿助理,採購助理,軟體助理工程師,越南翻譯／口譯人員,設計助理,財務／會計助理,業務助理,執行製作／助理,,0,5
worst_practice,工務助理(西屯),估算人員,內業工程人員,發包人員,工務助理,行政助理,秘書,採購助理,國貿助理,軟體助理工程師,行政人員,業務助理,電腦操作／資料輸入,財務／會計助理,資訊助理人員,行銷企劃助理,,0,5
worst_practice,日班生管人員,生管／助理,廠務,品管人員,行政人員,行政助理,資材主管,水電工,領班／管理幹部,倉管／物料管理員,資材人員,產品經理,生管主管,ISO品保人員,智慧製程工程師,水產養殖人員,,0,5
worst_practice,夜班生管人員,生管／助理,廠務,品管人員,行政人員,行政助理,資材主管,倉管／物料管理員,資材人員,售票／收銀人員,水電工,產品經理,生鮮處理人員,倉儲物流人員,智慧製程工程師,生管主管,,0,5
worst_practice,營業副理【主題樂園】,加盟／招商人員,通路開發人員,專案管理主管,產品經理,經營管理主管,業務助理,國貿助理,秘書,活動企劃人員,會計／出納／記帳人員,客服主管,財務／會計助理,售票／收銀人員,國貿人員,採購助理,,0,5
worst_practice,2.神秘客服務稽核調查專員,專案業務主管,客服主管,店長／門市管理人員,其他專案管理師,經營管理主管,神秘客,文字客服,國貿人員,資料庫管理人員,報關人員,保險業務員／經紀人,秘書,國貿助理,國外業務人員,會計／出納／記帳人員,,0,5
worst_practice,CNC銑床工程師/儲備幹部(薪35000~60000起),CNC銑床人員,CNC程式設計師,生產技術／製程工程師,技術人員,儲備幹部,智慧製程工程師,電機工程主管,電機技師／工程師,生管主管,壓鑄模具技術人員,電機設備裝配員,模具技術人員,生產線工程師,塑膠押出技術人員,PLC／自動控制工程師,,0,5
worst_practice,廠務儲備幹部,倉管／物料管理員,工務助理,廠務助理,廠務,儲備幹部,領班／管理幹部,工廠高階主管,生管主管,壓鑄模具技術人員,電機技師／工程師,電機工程主管,電機設備裝配員,智慧製程工程師,水電工,製鞋類人員,,0,5
worst_practice,設備維護工程師儲備主管【週休二日】,產品設備維修人員,電子設備維修人員,MIS工程師,電腦組裝／維修,儲備幹部,土木工程師,設備工程主管,電機工程主管,維修技術主管,水電工程師,結構技師／工程師,生產線工程師,機械工程師,工地主管／主任,冷凍空調技術人員／安裝員,,0,5
worst_practice,晚班(兼職)電訪員【時薪214~242元】,電訪人員,電話客服人員,電話行銷人員,客服人員,工讀生,房務人員,電腦操作／資料輸入,業務助理,國貿助理,資材人員,秘書,神秘客,活動企劃人員,檔案資料管理人員,外送人員,,0,5
worst_practice,行政助理/廠務助理/品保助理/工讀生(長期約聘),行政助理,廠務助理,品保工程師,檢驗人員,工讀生,行政人員,電腦操作／資料輸入,秘書,財務／會計助理,採購助理,國貿助理,排版人員,業務助理,特別助理,資訊助理人員,,0,5
worst_practice,晚班兼職電訪人員【時薪214~242元】,電訪人員,電話行銷人員,客服人員,電話客服人員,工讀生,房務人員,電腦操作／資料輸入,售票／收銀人員,業務助理,遊樂景點工作人員,資材人員,冷熱飲調製人員,國貿助理,秘書,活動企劃人員,,0,5
worst_practice,🚖客戶服務人員/款項追蹤人員,行政人員,行政助理,檔案資料管理人員,電腦操作／資料輸入,帳款催收人員,國貿人員,文字客服,資材人員,業務助理,國貿助理,秘書,電話客服人員,國外業務人員,活動企劃人員,客服人員,,0,5
worst_practice,服務事務員(自由分公司),會計／出納／記帳人員,財務分析／財務人員,主辦會計,成本會計人員,財務／會計助理,房務人員,公關企劃人員,客服主管,銀行辦事人員,售票／收銀人員,神秘客,股務人員,資材人員,行政主管,遊樂景點工作人員,,0,5
worst_practice,內勤人員,業務助理,行政人員,電腦操作／資料輸入,檔案資料管理人員,財務／會計助理,餐廚助手,核保／保險內勤人員,稽核人員,餐飲服務人員,其他料理廚師,內勤業務,稽核主管,西式廚師,客服人員,餐飲領班,,0,5
worst_practice,OP助理人員(高雄),業務助理,空運／船務,國貿人員,國貿助理,保稅人員,攝影助理,資訊助理人員,媒體公關人員,人事助理,生管／助理,行銷企劃助理,採購助理,執行製作／助理,電腦操作／資料輸入,特別助理,,0,5
worst_practice,【永義富國龍華店】不動產營業專員，人生重要的不是所站的位置，而是朝所嚮的方向衝刺,不動產經紀人／營業員,融資／信用業務人員,保險業務員／經紀人,汽車銷售人員,國內業務人員,門市／店員／專櫃人員,儲備幹部,售票／收銀人員,資材主管,調酒師／吧台人員,資材人員,客服主管,房務人員,金融營業人員,品管／品保主管,,0,5
worst_practice,(台南)房貸整合專案業務,融資／信用業務人員,通路開發人員,帳款催收人員,授權／授信／徵信人員,金融營業人員,國外業務人員,廣告AE,ERP專案管理師,國貿人員,國內業務人員,保險業務員／經紀人,報關人員,神秘客,空運／船務,系統分析師,,0,5
worst_practice,(鳳山)房貸整合專案業務,融資／信用業務人員,通路開發人員,帳款催收人員,授權／授信／徵信人員,金融營業人員,國外業務人員,廣告AE,ERP專案管理師,國貿人員,國內業務人員,報關人員,保險業務員／經紀人,空運／船務,廣告設計,神秘客,,0,5
worst_practice,【近捷運】估價師助理【台北】(地政學系相關科系畢),不動產審核／估價師,都市／交通規劃人員,土地開發人員,授權／授信／徵信人員,不動產經紀人／營業員,資訊助理人員,攝影助理,媒體公關人員,室內設計助理,生管／助理,法務助理,設計助理,人事助理,軟體助理工程師,執行製作／助理,,0,5
worst_practice,總部徵才-美工編輯／行銷設計專員,社群經營人員,行銷企劃人員,數位行銷人員,產品企劃人員,廣告文案企劃人員,平面設計,廣告設計,產品企劃主管,UI/UX設計師,建築繪圖／設計,資料庫管理人員,公關企劃人員,軟體專案主管,行政主管,設計主管,,0,5
worst_practice,光纜接續工程人員,水電工程師,水電工,機電技師／工程師,光學工程師,光電工程師,嵌入式工程師,RF通訊工程師,IC設計工程師,軟體工程師,電信／配線繪圖,冷凍空調繪圖／設計,通訊軟體工程師,IC佈局工程師,MIS工程師,韌體工程師,,0,5
worst_practice,電控助理工程師／自動化設備助理,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,電子工程師,電機工程主管,冷凍空調繪圖／設計,室內設計助理,工程助理,機械設計／繪圖人員,軟體助理工程師,CAD／CAM工程師,設計助理,CNC程式設計師,客服工程師,組裝組立技術人員,,0,5
worst_practice,生產儲備幹部,儲備幹部,生產技術／製程工程師,生產線工程師,工業工程師,製程主管,智慧製程工程師,生管主管,電機技師／工程師,電機設備裝配員,模具技術人員,塑膠模具技術人員,電機工程主管,塑膠押出技術人員,沖壓模具技術人員,技術人員,,0,5
worst_practice,生管人員,生管／助理,生產技術／製程工程師,生產線工程師,工業工程師,製程主管,資材主管,智慧製程工程師,生管主管,資材人員,水電工,電機技師／工程師,包裝員／作業員,木工,品管人員,塑膠押出技術人員,,0,5
worst_practice,生產技術/製程工程師,生產技術／製程工程師,生產線工程師,生管／助理,MES工程師,製程主管,智慧製程工程師,電機技師／工程師,電機設備裝配員,模具技術人員,塑膠押出技術人員,技術人員,塑膠模具技術人員,PLC／自動控制工程師,水電工,CNC車床人員,,0,5
worst_practice,[業務]安全規劃專員-褒忠(營),國內業務人員,機械工程主管,工廠高階主管,電機工程主管,製程主管,建築繪圖／設計,軟體專案主管,保險業務員／經紀人,裝潢工程人員,客服工程師,軟體相關管理師,保全工程技術人員,神秘客,軟體工程師,PCB-Layout佈局工程師,,0,5
worst_practice,製程工程師,生產技術／製程工程師,材料研發人員,紡織化學工程師,生管主管,製程主管,智慧製程工程師,電機技師／工程師,PLC／自動控制工程師,電機設備裝配員,塑膠押出技術人員,水電工,模具技術人員,電機工程主管,機構工程師,CNC車床人員,,0,5
worst_practice,生管工程師,生管／助理,生產線工程師,廠務,工業工程師,領班／管理幹部,水電工程師,PLC／自動控制工程師,結構技師／工程師,電機工程主管,電機技師／工程師,電機設備裝配員,生產設備工程師,智慧製程工程師,機構工程師,土木工程師,,0,5
worst_practice,✉ 電商行政人員,產品企劃人員,行銷企劃人員,美編人員,行政人員,行政助理,國貿人員,文字記者,報關人員,文字客服,傳播媒體編輯企劃,空運／船務,保稅人員,資材人員,採購助理,醫院行政管理人員,,0,5
worst_practice,短期助理工讀生(平鎮校),工讀生,總機／接待／櫃檯人員,業務助理,行政人員,行政助理,資訊助理人員,攝影助理,人事助理,助教,特別助理,電腦操作／資料輸入,影片製作技術人員,執行製作／助理,媒體公關人員,行銷企劃助理,,0,5
worst_practice,短期助理工讀生(中壢校),工讀生,總機／接待／櫃檯人員,業務助理,行政人員,行政助理,資訊助理人員,攝影助理,助教,人事助理,影片製作技術人員,電腦操作／資料輸入,媒體公關人員,執行製作／助理,生管／助理,特別助理,,0,5
worst_practice,英文專利程序專員,業務助理,國外業務人員,秘書,行政人員,行政助理,軟／韌體測試工程師,嵌入式工程師,RF通訊工程師,機器學習工程師,韌體工程師,專利工程師,IC佈局工程師,區塊鏈工程師,演算法開發工程師,BIOS工程師,,0,5
worst_practice,長期兼職助理,牙醫助理,診所助理,醫院行政管理人員,總機／接待／櫃檯人員,行政助理,資訊助理人員,特別助理,行銷企劃助理,人事助理,電腦操作／資料輸入,財務／會計助理,秘書,行政人員,採購助理,國貿助理,,0,5
worst_practice,早班長期兼職助理,牙醫助理,診所助理,醫院行政管理人員,總機／接待／櫃檯人員,行政助理,資訊助理人員,人事助理,行銷企劃助理,特別助理,電腦操作／資料輸入,行政人員,秘書,財務／會計助理,採購助理,執行製作／助理,,0,5
worst_practice,晚班長期兼職助理,牙醫助理,診所助理,醫院行政管理人員,總機／接待／櫃檯人員,行政助理,資訊助理人員,行銷企劃助理,電腦操作／資料輸入,人事助理,行政人員,特別助理,秘書,財務／會計助理,採購助理,執行製作／助理,,0,5
worst_practice,【大寮無塵室公司】代徵繪圖助理,建築繪圖／設計,機械設計／繪圖人員,水電及其他工程繪圖人員,設計助理,行政助理,資訊助理人員,電腦操作／資料輸入,財務／會計助理,行政人員,採購助理,秘書,國貿助理,行銷企劃助理,人事助理,業務助理,,0,5
worst_practice,景觀園藝技術工程師,花藝／園藝人員,農藝栽培專業人員,農藝／畜產研究人員,環保／環境工程師／技師,儲備幹部,電子設備維修人員,電信／配線繪圖,水電工程師,微機電工程師,燈光技術人員,冷凍空調技術人員／安裝員,弱電工程師,保全工程技術人員,水產養殖人員,電器產品維修人員,,0,5
worst_practice,(嘉義太保廠)業務人員,國內業務人員,通路開發人員,門市／店員／專櫃人員,國外業務主管,儲備幹部,國外業務人員,國貿人員,報關人員,國貿助理,生管／助理,文字客服,廣告AE,採購助理,業務助理,資材人員,,0,5
worst_practice,機電副理,工地監工,內業工程人員,工地品管員／工程師,機電技師／工程師,儲備幹部,電機技師／工程師,電機設備裝配員,PLC／自動控制工程師,水電工,智慧製程工程師,機械加工技術人員,生管主管,工業設計,模具技術人員,技術人員,,0,5
worst_practice,儲備幹部(製造課),組裝組立技術人員,機械加工技術人員,技術人員,領班／管理幹部,儲備幹部,電機工程主管,智慧製程工程師,生管主管,製程主管,塑膠模具技術人員,生產線工程師,電機技師／工程師,金屬模具技術人員,維修技術主管,模具技術人員,,0,5
worst_practice,儲備幹部 內外勤人員 鑑定師(無經驗/新鮮人皆可),門市／店員／專櫃人員,業務助理,檔案資料管理人員,行政助理,儲備幹部,品管／品保主管,智慧製程工程師,稽核人員,稽核主管,實驗／化驗人員,品管人員,品保工程師,資材主管,電機工程主管,麵包師,,0,5
worst_practice,(中部) 現場工安人員,職業安全衛生管理人員,工廠安全衛生人員,公共衛生人員,工地安全衛生工程師,儲備幹部,資材主管,資材人員,生鮮處理人員,倉管／物料管理員,售票／收銀人員,智慧製程工程師,房務人員,包裝員／作業員,PLC／自動控制工程師,電機技師／工程師,,0,5
worst_practice,(竹科) 現場工安人員-約聘,職業安全衛生管理人員,工廠安全衛生人員,公共衛生人員,工地安全衛生工程師,儲備幹部,資材人員,倉管／物料管理員,房務人員,遊樂景點工作人員,生管／助理,售票／收銀人員,門市／店員／專櫃人員,倉儲物流人員,飯店／旅館服務人員,電腦操作／資料輸入,,0,5
worst_practice,(竹科) 現場工安人員,職業安全衛生管理人員,工廠安全衛生人員,公共衛生人員,工地安全衛生工程師,儲備幹部,資材人員,倉管／物料管理員,倉儲物流人員,生管／助理,房務人員,遊樂景點工作人員,售票／收銀人員,資材主管,理貨人員,生鮮處理人員,,0,5
worst_practice,(楠梓) 現場工安人員-日薪,職業安全衛生管理人員,工廠安全衛生人員,公共衛生人員,工地安全衛生工程師,儲備幹部,倉管／物料管理員,資材人員,倉儲物流人員,生鮮處理人員,理貨人員,生管／助理,包裝員／作業員,資材主管,房務人員,外務／快遞／送貨,,0,5
worst_practice,(楠梓) 現場工安人員-約聘,職業安全衛生管理人員,工廠安全衛生人員,公共衛生人員,工地安全衛生工程師,儲備幹部,資材人員,倉管／物料管理員,倉儲物流人員,房務人員,遊樂景點工作人員,生管／助理,售票／收銀人員,生鮮處理人員,理貨人員,外務／快遞／送貨,,0,5
worst_practice,(中部) 現場工安人員-約聘,職業安全衛生管理人員,工廠安全衛生人員,公共衛生人員,工地安全衛生工程師,儲備幹部,資材主管,資材人員,售票／收銀人員,生鮮處理人員,房務人員,智慧製程工程師,倉管／物料管理員,門市／店員／專櫃人員,PLC／自動控制工程師,木工,,0,5
worst_practice,(南科) 現場工安人員,職業安全衛生管理人員,工廠安全衛生人員,公共衛生人員,工地安全衛生工程師,儲備幹部,資材人員,倉管／物料管理員,倉儲物流人員,遊樂景點工作人員,生管／助理,房務人員,售票／收銀人員,理貨人員,生鮮處理人員,資材主管,,0,5
worst_practice,(楠梓) 現場工安人員,職業安全衛生管理人員,工廠安全衛生人員,公共衛生人員,工地安全衛生工程師,儲備幹部,資材人員,倉管／物料管理員,倉儲物流人員,生管／助理,理貨人員,生鮮處理人員,房務人員,資材主管,遊樂景點工作人員,包裝員／作業員,,0,5
worst_practice,獵才顧問,國內業務主管,國內業務人員,人力／外勞仲介,人事／人力資源專員,人事／人力資源主管,神秘客,專業顧問,室內設計助理,廣告設計,留學諮詢顧問,門市／店員／專櫃人員,禮儀師,建築繪圖／設計,律師,ISO品保人員,,0,5
worst_practice,估價師助理【宜蘭】相關科系畢,不動產審核／估價師,估算人員,土地開發人員,業務助理,授權／授信／徵信人員,攝影助理,室內設計助理,資訊助理人員,生管／助理,法務助理,藥師助理,診所助理,影片製作技術人員,助教,媒體公關人員,,0,5
worst_practice,台中漢神洲際-島語自助餐廳廚房(點心) A廚師/B廚師,西式廚師,其他料理廚師,,,,調酒師／吧台人員,侍酒師,冷熱飲調製人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐飲主管,餐飲服務人員,餐廚助手,售票／收銀人員,藥師助理,,0,2
worst_practice,台中漢神洲際-島語自助餐廳廚房(點心) 助廚,西式廚師,其他料理廚師,,,,調酒師／吧台人員,門市／店員／專櫃人員,侍酒師,冷熱飲調製人員,飯店／旅館服務人員,藥師助理,售票／收銀人員,遊樂景點工作人員,餐飲主管,餐廚助手,,0,2
worst_practice,清潔煮飯人員,清潔／資源回收人員,其他料理廚師,,,,洗碗人員,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,餐廚助手,房務人員,侍酒師,餐飲服務人員,外送人員,,0,2
worst_practice,桃園市高級豪宅社區物業經理,保全人員／警衛,飯店／旅館主管,,,,資材主管,資材人員,金融營業人員,產品經理,產品企劃主管,客服主管,國內業務人員,保險業務員／經紀人,儲備幹部,專案業務主管,,0,2
worst_practice,中壢青埔高級豪宅/商辦社區物業經理,保全人員／警衛,飯店／旅館主管,,,,資材主管,國內業務人員,保險業務員／經紀人,專案業務主管,旅遊休閒類主管,醫藥業務代表,產品企劃主管,國內業務主管,客服主管,國外業務人員,,0,2
worst_practice,台糖-柳營尖山埤渡假村服務員(原住民身分保障名額),飯店／旅館櫃檯人員,飯店／旅館主管,,,,調酒師／吧台人員,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員,冷熱飲調製人員,侍酒師,房務人員,店長／門市管理人員,儲備幹部,休閒娛樂事業從業人員,,0,2
worst_practice,台糖-柳營尖山埤渡假村票口服務員,飯店／旅館櫃檯人員,飯店／旅館主管,,,,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,售票／收銀人員,冷熱飲調製人員,侍酒師,遊樂景點工作人員,休閒娛樂事業從業人員,電腦操作／資料輸入,金融營業人員,,0,2
