品牌名,職缺名稱,廠商duty0,廠商duty1,廠商duty2,廠商duty3,廠商duty4,AI推薦1,AI推薦2,AI推薦3,AI推薦4,AI推薦5
A008五股五權店,［A008五股五權店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,門市／店員／專櫃人員,調酒師／吧台人員,冷熱飲調製人員,房務人員
A009台北福國店,［A009台北福國店］服務人員,餐飲服務人員,餐廚助手,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,洗碗人員
A012台北南門店,［A012台北南門店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,侍酒師
A016平鎮民族店,［A016平鎮民族店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,侍酒師
A019台北昆陽店,［A019台北昆陽店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A022忠孝新生店,［A022忠孝新生店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,房務人員
A023桃園龍潭店,［A023桃園龍潭店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A024台北北醫店,［A024台北北醫店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,遊樂景點工作人員
A026台北南昌店,［A026台北南昌店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A030大直北安店,［A030大直北安店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,售票／收銀人員
A034新店碧潭店,［A034新店碧潭店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員
A035板橋江子翠店,［A035板橋江子翠店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,調酒師／吧台人員,門市／店員／專櫃人員,冷熱飲調製人員,侍酒師
A036內湖瑞光店,［A036內湖瑞光店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A038林口長庚店,［A038林口長庚店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,遊樂景點工作人員
A041竹北光明店,［A041竹北光明店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A043桃園藝文特區店,［A043桃園藝文特區店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員
A044新竹北大店,［A044新竹北大店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員
A046三峽北大店,［A046三峽北大店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員
A047林口文化店,［A047林口文化店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員
A048淡水新市店,［A048淡水新市店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,售票／收銀人員
A050台北石牌店,［A050台北石牌店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師
A052南京三民店,［A052南京三民店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,房務人員
A053中和景安店,［A053中和景安店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,房務人員
A055中壢中山店,［A055中壢中山店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,門市／店員／專櫃人員,休閒娛樂事業從業人員,調酒師／吧台人員,冷熱飲調製人員
A056竹北自強店,［A056竹北自強店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A060內湖湖光店,［A060內湖湖光店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A061台北天母店,［A061台北天母店］服務人員,餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,飯店／旅館服務人員,門市／店員／專櫃人員,房務人員
A063林口中山店,［A063林口中山店］服務人員,餐飲服務人員,,,,,飯店／旅館服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,房務人員
AI 伺服器散熱技術領導品牌,【AI 伺服器散熱技術領導品牌】設備經/副理(派駐越南),設備工程主管,生產設備工程師,,,,PLC／自動控制工程師,冷凍空調技術人員／安裝員,工業設計,電機設備裝配員,電機技師／工程師
Aesop,【Aesop】銷售顧問│雙北地區│全職 (正職代招),門市／店員／專櫃人員,門市／店員／專櫃人員,美療師／芳療師,,,國內業務人員,專業顧問,行銷企劃人員,廣告AE,國外業務主管
Apple產品,Apple產品銷售顧問,門市／店員／專櫃人員,,,,,行銷企劃人員,產品經理,廣告設計,國內業務人員,產品企劃主管
B52-大里益民店,【B52-大里益民店】儲備幹部,餐飲服務人員,,,,,調酒師／吧台人員,品管／品保主管,餐飲主管,店長／門市管理人員,冷熱飲調製人員
BEAUTYAGENT頭皮建構美學,【BEAUTYAGENT頭皮建構美學】–頭皮管理師(台北內湖店)–底薪+獎金無上限,美療師／芳療師,美容師,,,,智慧製程工程師,水電工,資材主管,麵包師,電機工程主管
BGREEN運動家具,[BGREEN運動家具]銷售顧問-台中地區,國內業務主管,店長／門市管理人員,,,,門市／店員／專櫃人員,國內業務人員,行銷企劃人員,汽車銷售人員,廣告設計
BGREEN運動家具,[BGREEN運動家具]銷售顧問-台南地區,店長／門市管理人員,通路開發人員,,,,行銷企劃人員,國內業務人員,汽車銷售人員,門市／店員／專櫃人員,廣告AE
BILUO MAROR,【BILUO MAROR】後勤吧台清潔人員,美容師,美療師／芳療師,整體造型師,,,洗碗人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,房務人員
BILUO MAROR,【BILUO MAROR】美顏美療管理師(可彈性排班/無經驗可/有經驗者薪資可談/可週休二日),美容師,美療師／芳療師,整體造型師,,,水電工,智慧製程工程師,生管主管,領班／管理幹部,電機技師／工程師
BILUO MAROR,【BILUO MAROR】辦公室助理 /櫃台助理,行政助理,工讀生,休閒娛樂事業從業人員,,,行政人員,秘書,電腦操作／資料輸入,財務／會計助理,業務助理
Buckskin 柏克金南京店,【Buckskin 柏克金南京店】外場計時服務人員(台北市中山區),餐飲服務人員,,,,,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,飯店／旅館服務人員,侍酒師
Buckskin柏克金南京店,【Buckskin柏克金南京店】外場服務人員(台北市中山區),餐飲服務人員,,,,,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,冷熱飲調製人員,餐飲主管
CHUỖI GÀ RÁN,Tuyển 白領【CHUỖI GÀ RÁN】歡迎已畢業留在台灣的同學加入/ HỖ TRỢ LÀM GIẤY TỜ BAILING,餐飲服務人員,,,,,CNC車床人員,塑膠押出技術人員,包裝員／作業員,水電工,倉管／物料管理員
CITYLINK南港店,【正職】CITYLINK南港店_顧客服務專員 Customer Advisor-R00000004166154,門市／店員／專櫃人員,,,,,國貿人員,國貿助理,文字客服,業務助理,採購助理
Chatime- 桃園環球A19,【Chatime- 桃園環球A19】#訓練員考核通過時薪可達211元 #假日排班8小時加碼津貼,門市／店員／專櫃人員,調酒師／吧台人員,餐飲服務人員,,,品管人員,檢驗人員,智慧製程工程師,原料檢驗人員,汽車檢驗員
Chatime-南港環球,【Chatime-南港環球】#訓練員考核通過時薪可達216元 #假日排班8小時加碼津貼,調酒師／吧台人員,餐飲服務人員,,,,品管人員,檢驗人員,智慧製程工程師,原料檢驗人員,汽車檢驗員
Chic Café & Pastry,【Chic Café & Pastry】倉儲和包裝部主管,店長／門市管理人員,餐飲主管,,,,資材主管,生管主管,領班／管理幹部,包裝員／作業員,沖壓模具技術人員
ChillaxBeauty Spa,【ChillaxBeauty Spa】假日班 美容師🌸需具備經驗,美療師／芳療師,美容師,,,,加油服務,智慧製程工程師,遊樂景點工作人員,汽車美容,售票／收銀人員
ChillaxBeauty Spa,【ChillaxBeauty Spa】兼職美容師🌸需具備經驗,美療師／芳療師,美容師,,,,加油服務,遊樂景點工作人員,飯店／旅館服務人員,休閒娛樂事業從業人員,售票／收銀人員
ChillaxBeauty Spa,【ChillaxBeauty Spa】晚班 美容師🌸需具備經驗,美療師／芳療師,美容師,,,,加油服務,售票／收銀人員,遊樂景點工作人員,休閒娛樂事業從業人員,門市／店員／專櫃人員
ChillaxBeauty Spa,【ChillaxBeauty Spa】美容師🌸給你好薪情！完整培訓,美療師／芳療師,美容師,,,,加油服務,調酒師／吧台人員,售票／收銀人員,冷熱飲調製人員,休閒娛樂事業從業人員
DA ANTONIO 台北民生店,早/晚班-外場兼職服務人員【DA ANTONIO 台北民生店】,餐飲服務人員,,,,,冷熱飲調製人員,調酒師／吧台人員,飯店／旅館服務人員,門市／店員／專櫃人員,外送人員
DA ANTONIO 竹北店,兼職服務人員 【DA ANTONIO 竹北店】,餐飲服務人員,,,,,飯店／旅館服務人員,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,外送人員
DA ANTONIO 竹北店,長期兼職/傳菜人員【DA ANTONIO 竹北店】,餐飲服務人員,,,,,冷熱飲調製人員,調酒師／吧台人員,外送人員,門市／店員／專櫃人員,侍酒師
Dr.stretch,【Dr.stretch】保障底薪＋績效獎金＝收入穩定！無經驗可，完整培訓制度！運動/訓練師/教練/健身房,運動教練,推拿／按摩師,,,,智慧製程工程師,PLC／自動控制工程師,水電工程師,儲備幹部,水電工
Dr.stretch,【Dr.stretch】兼職職缺 無經驗可、歡迎有運動經驗者 運動/訓練師/教練/健身房,運動教練,推拿／按摩師,,,,神秘客,房務人員,智慧製程工程師,PLC／自動控制工程師,資材人員
Dr.stretch,【Dr.stretch】培訓全額補助!從零經驗變一流伸展師! 運動/訓練師/教練/健身房/CITYLIK松山,運動教練,推拿／按摩師,,,,智慧製程工程師,PLC／自動控制工程師,客服主管,資材人員,儲備幹部
Dr.stretch,【Dr.stretch】培訓全額補助!從零經驗變一流伸展師! 運動/訓練師/教練/健身房/中山,運動教練,推拿／按摩師,,,,汽車銷售人員,智慧製程工程師,客服主管,PLC／自動控制工程師,資材人員
Dr.stretch,【Dr.stretch】培訓全額補助!從零經驗變一流伸展師! 運動/訓練師/教練/健身房/南京三民,運動教練,推拿／按摩師,,,,智慧製程工程師,客服主管,PLC／自動控制工程師,儲備幹部,神秘客
Dr.stretch,【Dr.stretch】培訓全額補助!從零經驗變一流伸展師! 運動/訓練師/教練/健身房/松江南京,運動教練,推拿／按摩師,,,,智慧製程工程師,PLC／自動控制工程師,客服主管,資材人員,儲備幹部
Dr.stretch,無經驗可　伸展專門店〝Dr.stretch〞【運動/健身房/服務業】招募訓練師 培訓費用全,運動教練,推拿／按摩師,,,,門市／店員／專櫃人員,售票／收銀人員,客服主管,調酒師／吧台人員,儲備幹部
Dr.stretch訓練師,【Dr.stretch訓練師】CITYLINK松山店,運動教練,推拿／按摩師,,,,調酒師／吧台人員,冷熱飲調製人員,侍酒師,門市／店員／專櫃人員,品管／品保主管
Dr.stretch訓練師,【Dr.stretch訓練師】中山店,運動教練,推拿／按摩師,,,,調酒師／吧台人員,門市／店員／專櫃人員,餐飲主管,冷熱飲調製人員,藥師助理
Dr.stretch訓練師,【Dr.stretch訓練師】南京三民店,運動教練,推拿／按摩師,復健技術師,,,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,品管／品保主管
Dr.stretch訓練師,【Dr.stretch訓練師】台北京站店,運動教練,推拿／按摩師,,,,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,品管／品保主管
Dr.stretch訓練師,【Dr.stretch訓練師】松江南京店,運動教練,推拿／按摩師,,,,調酒師／吧台人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師,品管／品保主管
Dr.撥,【一技之長職缺】【Dr.撥】運動按摩師/筋絡調理師★合作按摩師傅(台中)可培訓,學徒,推拿／按摩師,美療師／芳療師,,,燈光技術人員,木工,水電工,服裝設計,智慧製程工程師
Dr.撥,【推薦培訓】Dr.撥專業筋膜調理師 業界少有！培訓+底薪+高獎金(台中),學徒,推拿／按摩師,美療師／芳療師,,,智慧製程工程師,PLC／自動控制工程師,神秘客,工業設計,服裝設計
Dr.撥,【推薦培訓】Dr.撥專業筋膜調理師 業界少有！培訓+底薪+高獎金(台北),學徒,推拿／按摩師,美療師／芳療師,,,智慧製程工程師,PLC／自動控制工程師,塑膠押出技術人員,工業設計,服裝設計
Dr.撥,【推薦培訓】Dr.撥專業筋膜調理師 業界少有！培訓+底薪+高獎金(新竹),學徒,推拿／按摩師,美療師／芳療師,,,智慧製程工程師,PLC／自動控制工程師,塑膠押出技術人員,工業設計,神秘客
Dr.撥,幸福企業【一技之長職缺】【Dr.撥】運動按摩師★合作按摩師傅(台中)可培訓,學徒,推拿／按摩師,,,,木工,水電工,服裝設計,智慧製程工程師,PLC／自動控制工程師
ETC遠通電收股份,【新北-泰山】【休假日可自選】【長期工讀】ETC遠通電收股份有限公司-歡迎夜校生及國考生 / 不加班 -602J,工讀生,行政助理,行政人員,,,包裝員／作業員,倉管／物料管理員,理貨人員,生鮮處理人員,倉儲物流人員
ETC遠通電收股份,【樹林區】【休假日可自選】【長期工讀】ETC遠通電收股份有限公司-歡迎夜校生及國考生 / 準時上下班 -602J,行政人員,工讀生,行政助理,,,資材人員,倉管／物料管理員,外務／快遞／送貨,倉儲物流人員,房務人員
ETC遠通電收股份,歡迎夜校生/國考生/學生/ETC遠通電收股份有限公司(近樹谷園區)-不加班 / 休假日可選 -602J,電腦操作／資料輸入,行政人員,行政助理,,,包裝員／作業員,倉管／物料管理員,理貨人員,倉儲物流人員,CNC車床人員
Engolili 台北車站,【Engolili 台北車站】內場組長｜任職滿一年保障年薪13個月｜月薪38K–42K｜具連鎖餐飲2年管理經驗,餐飲主管,店長／門市管理人員,,,,稽核主管,品管／品保主管,餐廚助手,稽核人員,餐飲服務人員
Engolili 板橋車站,【Engolili 板橋車站】內場組長｜任職滿一年保障年薪13個月｜月薪38K–42K｜具連鎖餐飲2年管理經驗,餐飲主管,店長／門市管理人員,,,,品管／品保主管,稽核主管,餐廚助手,稽核人員,調酒師／吧台人員
Engolili 統一時代店,【Engolili 統一時代店】內場組長｜任職滿一年保障年薪13個月｜月薪38K–42K｜具連鎖餐飲2年管理經驗,餐飲主管,店長／門市管理人員,,,,餐廚助手,品管／品保主管,調酒師／吧台人員,稽核主管,餐飲服務人員
GAGA DUCK 職人手作・舒肥餐盒,【GAGA DUCK 職人手作・舒肥餐盒】誠徵 晚班兼職/餐飲小幫手,餐廚助手,,,,,冷熱飲調製人員,調酒師／吧台人員,門市／店員／專櫃人員,飯店／旅館服務人員,外送人員
GAP,◆學生可◆【業務助理】純內勤工作 #近捷運站｜歡迎進修部同學或轉職GAP BIS_211,行政人員,,,,,內勤業務,行政助理,業務助理,國貿助理,秘書
GAP PT 台南三井,【GAP PT 台南三井】時薪$210~$215・無經驗可・排班超彈性,門市／店員／專櫃人員,,,,,調酒師／吧台人員,洗碗人員,冷熱飲調製人員,品管人員,智慧製程工程師
GAP PT 林口三井,【GAP PT 林口三井】時薪$210~$215・無經驗可・排班超彈性,門市／店員／專櫃人員,,,,,調酒師／吧台人員,洗碗人員,品管人員,冷熱飲調製人員,智慧製程工程師
GOGORO,GOGORO團隊 催收人員,帳款催收人員,電話客服人員,電訪人員,,,資材人員,倉管／物料管理員,理貨人員,倉儲物流人員,神秘客
GOGORO,GOGORO系統智慧電車-助理技師，【無經驗可，帶薪受訓】,其他車輛維修人員,機車維修人員,門市／店員／專櫃人員,,,工程助理,冷凍空調繪圖／設計,組裝組立技術人員,機械設計／繪圖人員,軟體助理工程師
GOGORO,『GOGORO 台南中山南門市』 Service Engineer 維修工程師 - 擴大徵才 帶薪培訓,產品設備維修人員,機車維修人員,客服工程師,,,PLC／自動控制工程師,工業設計,BIOS工程師,水電工程師,營建雜工／粗工
GOGORO,『GOGORO 台南中華分門市』 Service Engineer 維修工程師 - 擴大徵才 帶薪培訓,產品設備維修人員,機車維修人員,客服工程師,,,BIOS工程師,PLC／自動控制工程師,工業設計,水電工程師,熱傳工程師
GOGORO,『GOGORO 台南安平門市』 Service Engineer 維修工程師 - 擴大徵才 帶薪培訓,產品設備維修人員,機車維修人員,客服工程師,,,平面設計,工業設計,PLC／自動控制工程師,熱傳工程師,BIOS工程師
GOGORO,『GOGORO 台南新營門市』 Service Engineer 維修工程師 - 擴大徵才 帶薪培訓,產品設備維修人員,機車維修人員,客服工程師,,,BIOS工程師,PLC／自動控制工程師,工業設計,水電工程師,IC佈局工程師
GYMER．運動家,【GYMER．運動家】 社群媒體小編,社群經營人員,平面設計,行銷企劃人員,,,資材主管,資材人員,門市／店員／專櫃人員,金融營業人員,服裝設計
GoShare,#夜班 台北 GoShare換電工讀生（可短/長期）#高薪,工讀生,,,,,倉管／物料管理員,CNC車床人員,倉儲物流人員,理貨人員,包裝員／作業員
GoShare,#早班 台北 GoShare換電工讀生（可短/長期）#高薪,工讀生,,,,,CNC車床人員,倉管／物料管理員,水電工,電機技師／工程師,外務／快遞／送貨
GoShare,#晚班 台北 GoShare換電工讀生（可短/長期）#高薪,工讀生,,,,,CNC車床人員,倉管／物料管理員,水電工,理貨人員,倉儲物流人員
GoShare,【GoShare】維修工程師_晚班 (完整教育訓練、固定班別、待遇佳) JPS_850,其他車輛維修人員,機車維修人員,,,,MES工程師,BIOS工程師,電器產品維修人員,PLC／自動控制工程師,電腦組裝／維修
GoShare,💰210/H#桃園晚班🛵GoShare外勤換電工讀生🛵 #排班制,工讀生,,,,,資材主管,智慧製程工程師,品管人員,外務／快遞／送貨,電機技師／工程師
GoShare,💰225/H#台北大夜🛵GoShare外勤換電工讀生🛵 #排班制,工讀生,,,,,資材主管,外務／快遞／送貨,智慧製程工程師,品管人員,營建雜工／粗工
Gogoro,Gogoro 沙鹿服務中心 維修工程師🔥無經驗可，歡迎新鮮人加入我們的團隊🔥,機車維修人員,產品設備維修人員,其他車輛維修人員,,,嵌入式工程師,BIOS工程師,軟體工程師,水電工程師,電子設備維修人員
Gogoro,Gogoro 社區店-可樂車業-維修工程師🌟無經驗可提供帶薪教育訓練,機車維修人員,產品設備維修人員,其他車輛維修人員,,,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員,水電工程師,BIOS工程師
Gogoro,Gogoro 西屯甘肅服務中心 維修工程師👉原廠帶薪培訓,機車維修人員,產品設備維修人員,其他車輛維修人員,,,冷凍空調技術人員／安裝員,BIOS工程師,水電工程師,電子設備維修人員,泥水工相關人員
Gogoro,Gogoro東區民權服務中心車輛維修工程師[帶薪培訓] [本薪+餐補 34K 起],機車維修人員,電機維修人員,其他車輛維修人員,,,實驗／化驗人員,熱傳工程師,機械加工技術人員,PLC／自動控制工程師,電機設備裝配員
Goshare,💰190/H#台北晚班🛵Goshare_貼紙工讀生#易上手#排班制,工讀生,,,,,資材人員,木工,外務／快遞／送貨,智慧製程工程師,品管人員
HPE高電壓產品,【HPE高電壓產品】新產品導入IE工程師,生產線工程師,工業工程師,,,,BIOS工程師,PCB-Layout佈局工程師,IC佈局工程師,嵌入式工程師,IC設計工程師
HPE高電壓產品,【HPE高電壓產品】新產品導入硬體開發工程師,系統工程師,,,,,韌體工程師,軟／韌體測試工程師,演算法開發工程師,嵌入式工程師,電腦硬體研發工程師
Hotel dùa,[Hotel dùa] étage15西餐廳早晚班儲備幹部/領班 (一段班8.5小時),餐飲領班,餐飲服務人員,,,,調酒師／吧台人員,餐飲主管,冷熱飲調製人員,侍酒師,品管／品保主管
Hotel dùa,[Hotel dùa] étage15西餐廳早班/晚班服務專員 (一段班8.5小時),餐飲服務人員,飯店／旅館櫃檯人員,儲備幹部,,,調酒師／吧台人員,飯店／旅館服務人員,冷熱飲調製人員,門市／店員／專櫃人員,侍酒師
Hotel dùa,[Hotel dùa]訂房專員,總機／接待／櫃檯人員,飯店／旅館櫃檯人員,飯店／旅館服務人員,,,門市／店員／專櫃人員,調酒師／吧台人員,房務人員,資材人員,神秘客
Hotel dùa,"【Hotel dùa, Kenting 墾丁】客務部主任",飯店／旅館主管,旅遊休閒類主管,飯店／旅館櫃檯人員,,,客服主管,儲備幹部,資材人員,售票／收銀人員,國外業務主管
Hotel dùa,"【Hotel dùa, Kenting 墾丁】客務部副理",飯店／旅館主管,旅遊休閒類主管,飯店／旅館服務人員,,,業務助理,秘書,國貿助理,電腦操作／資料輸入,財務／會計助理
Hotel dùa,"【Hotel dùa, Kenting 墾丁】清潔人員",清潔／資源回收人員,,,,,洗碗人員,冷熱飲調製人員,調酒師／吧台人員,房務人員,門市／店員／專櫃人員
Hotel dùa,"【Hotel dùa, Kenting 墾丁】餐飲部主任/領班",餐飲主管,旅遊休閒類主管,,,,餐飲領班,品管／品保主管,補習班主任／主管,調酒師／吧台人員,飯店／旅館主管
ICC,【ICC】多國認證專員,檔案資料管理人員,技術文件／說明書編譯,,,,神秘客,資材人員,品管人員,PLC／自動控制工程師,工業設計
IS BU,【IS BU】AOI製程工程師-竹北廠,生產技術／製程工程師,,,,,智慧製程工程師,電機技師／工程師,CNC車床人員,汽車檢驗員,電機設備裝配員
IS BU,【IS BU】客戶品質工程師(CQE)-竹北廠,品管人員,品保工程師,客服人員,,,PCB-Layout佈局工程師,IC佈局工程師,工業設計,BIOS工程師,軟體工程師
IS BU,【IS BU】廠務工程師(做二休二輪班12H)-竹北廠,廠務,,,,,BIOS工程師,IC佈局工程師,測量／儀校人員,工程助理,機械加工技術人員
IS BU,【IS BU】製程工程師(DB)-竹北廠,生產技術／製程工程師,半導體製程工程師,,,,智慧製程工程師,電機技師／工程師,塑膠押出技術人員,電機設備裝配員,CNC車床人員
IS BU,【IS BU】製程工程師(WB)-竹北廠,生產技術／製程工程師,半導體製程工程師,,,,智慧製程工程師,電機技師／工程師,塑膠押出技術人員,電機設備裝配員,CNC車床人員
IS BU,【IS BU】製造工程師-竹北廠,生管／助理,工業工程師,生產線工程師,,,智慧製程工程師,鑄造／鍛造模具技術人員,電機技師／工程師,塑膠模具技術人員,金屬模具技術人員
IS BU,【IS BU】設備工程師(做二休二12H輪班)-竹北廠,半導體設備工程師,生產設備工程師,半導體工程師,,,BIOS工程師,IC佈局工程師,PLC／自動控制工程師,機構工程師,工業設計
IS BU,【IS BU】設備工程師(做二休二固定夜班12H)-竹北廠,半導體設備工程師,生產設備工程師,半導體工程師,,,BIOS工程師,PLC／自動控制工程師,機構工程師,IC佈局工程師,工業設計
IS BU,【IS BU】設備工程師(做二休二固定日班12H)-竹北廠,半導體設備工程師,生產設備工程師,半導體工程師,,,BIOS工程師,PLC／自動控制工程師,機構工程師,IC佈局工程師,電機設備裝配員
ITRI Global Talent,【ITRI Global Talent】ISTI_AI Industry Analyst,市場調查／分析人員,,,,,工業設計,機構工程師,PLC／自動控制工程師,電機技師／工程師,電機設備裝配員
ITRI Global Talent,【ITRI Global Talent】ISTI_Semiconductor Industry Analyst,市場調查／分析人員,,,,,特用化學工程師,材料分析員,BIOS工程師,汽車研發人員,紡織化學工程師
ITRI Global Talent,【ITRI Global Talent】工研院服科中心_智慧服務型機器人策略與技術專家(A000),AI工程師,資料科學工程師,,,,臨床／實驗室研究人員,電子設備維修人員,心理學研究人員,復健技術師,軟／韌體測試工程師
JPD穿洞日常,【JPD穿洞日常】門市人員/正職／穿刺技師／穿刺學徒 台中一中店,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,,,沖床人員,智慧製程工程師,CNC車床人員,塑膠押出技術人員,電機技師／工程師
JPD穿洞日常,【JPD穿洞日常】門市人員/正職／穿刺技師／穿刺學徒 台北西門店,門市／店員／專櫃人員,店長／門市管理人員,售票／收銀人員,,,塑膠押出技術人員,壓鑄模具技術人員,CNC車床人員,智慧製程工程師,汽車檢驗員
KPMG ESG,【KPMG ESG】經理(ESG專案),專業顧問,ESG永續管理師,,,,軟體專案主管,保險業務員／經紀人,專案業務主管,資材主管,金融營業人員
KPMG ESG,【KPMG ESG】高級專員/經理/協理,專業顧問,查帳／審計人員,ESG永續管理師,,,資材人員,生管／助理,資材主管,文字客服,國貿助理
LA ONE Café,【LA ONE Café】 咖啡輕食_廚師,西式廚師,,,,,咖啡師,調酒師／吧台人員,侍酒師,冷熱飲調製人員,飯店／旅館服務人員
